Proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
G5ED33,16.7072,19.1966,20.1808,17.7618,24.8468,23.9004,24.6549,23.9741
G5ED33,21.3231,20.8525,18.3048,21.9144,22.9767,21.3006,23.4415,24.2209
G5ED33,21.2258,21.3047,21.0456,20.6389,24.2699,24.7744,25.4171,23.4405
G5ED33,20.7482,20.7905,20.7217,19.259,22.3228,21.8681,21.4144,22.0872
G5ED33,20.492,19.8716,20.3491,18.6497,24.7362,21.1441,22.3274,22.6511
G5ED33,20.7914,18.9471,21.5243,21.0692,24.9703,23.7241,27.9301,25.1328
G5ED33,20.4227,18.3571,19.618,21.6177,24.5897,21.9928,23.9204,24.0392
A0A061ACQ8,25.1233,24.8938,25.9115,24.5449,25.6579,24.0864,25.428,23.6614
A0A061ACQ8,19.9121,20.2161,19.0178,19.4925,21.5261,20.9082,20.5508,21.2494
A0A061ACQ8,25.1325,25.2518,24.1717,25.8192,27.8981,25.671,23.7275,25.777
A0A061ACQ8,25.1325,25.2518,24.1717,22.853,27.8981,25.671,24.3702,25.777
A0A061ACR1,24.3332,24.2495,23.1299,24.264,24.8919,24.3733,23.3201,24.3334
A0A061AL01,20.5116,21.8091,20.3211,19.6159,21.4876,20.4071,19.1027,21.2229
A0A061AL01,21.8251,21.7933,20.1921,20.2498,22.4827,21.9031,22.7817,20.8327
B3GWD8,21.2651,19.3165,19.4311,20.1715,21.8025,21.2305,21.2327,21.3365
B3GWD8,19.4375,21.3968,19.2826,19.6967,21.6807,20.9138,20.3555,20.8815
B3GWD8,21.2096,20.3949,19.5296,21.8822,22.4631,23.3466,23.5005,23.4366
A0A061AD09,19.6149,20.0751,19.3603,19.5791,21.5062,20.4952,21.0376,21.3714
Q3S1I9,17.6619,21.1208,20.0137,19.8695,21.8584,19.6352,20.7846,20.7815
Q3S1I9,21.5255,19.9551,20.3572,20.8448,21.5356,21.1871,20.1814,21.3339
G5EDF9,16.5769,19.2307,21.0463,19.3424,24.1315,22.8015,20.8969,22.766
G5EDF9,23.341,21.9295,23.7218,24.5733,23.9311,24.08,23.9537,22.6179
G5EDF9,19.909,20.7687,21.3029,18.8524,22.76,21.6825,23.0431,22.6419
A0A0K3AQS9,20.8617,19.5611,17.9838,21.4556,20.8844,20.5834,20.5976,20.7259
A0A0K3AQS9,22.9261,21.746,22.1229,21.9687,25.6561,23.6395,24.8017,24.4926
A0A0K3AQS9,25.3449,25.5837,26.722,24.2789,23.5659,24.066,23.2581,25.0997
A0A0K3AQS9,19.2675,19.9202,21.1537,19.4419,22.3292,22.883,23.1855,23.2034
A0A0K3AQS9,20.1862,20.9037,20.0813,19.2361,24.4751,23.6704,22.5505,22.1758
A0A0K3AQS9,25.1908,23.3092,23.1749,26.0765,27.0311,23.825,23.132,25.4939
A0A0K3AQS9,19.098,19.5447,18.8981,20.5491,24.1379,21.8971,20.4928,23.1852
A0A0K3AQT4,20.4802,18.4788,21.3274,21.0578,21.1342,21.0676,21.3159,21.0689
A0A0K3AQT4,18.2384,20.1402,20.3167,19.8738,21.5296,20.7628,21.0501,20.9683
A0A0K3AQT4,25.0909,25.2353,24.7327,23.3769,27.2704,24.6571,22.4098,25.6652
A0A0K3AUF2,23.4842,24.3237,24.7313,27.0153,24.1907,23.856,26.4937,25.293
A0A0K3ARB5,18.6965,17.5702,18.7603,19.4817,20.9736,19.8905,19.8582,21.2968
A0A0K3ARB5,21.1914,20.9461,20.577,20.3822,21.719,20.5158,19.1962,19.7462
A0A0K3ARB5,19.7377,19.6367,19.8774,19.9885,21.4565,21.1337,21.3257,20.1905
A0A0K3AS90,19.667,20.9756,19.7515,18.3044,21.345,20.7845,20.9709,21.2185
