geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y62E10A,13",14.218,14.1148,11.1635,15.0079,13.4942,13.8845,13.8712,13.6388
cars-1,17.4415,17.1778,17.8791,18.122,16.0888,15.7628,15.7788,16.1181
eps-8,14.4686,13.7126,14.1819,14.8971,13.6373,12.5531,12.7802,13.2235
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.6362,17.6537,17.2508,18.0665,16.5923,16.5336,16.4166,16.889
pezo-1,17.6704,17.5944,18.1401,17.7233,13.8155,14.1636,14.1229,14.2687
twk-9,14.4523,14.1682,14.2584,14.486,17.3976,17.1534,17.8241,17.5571
epi-1,19.3472,19.2119,19.0184,19.2306,16.8657,16.7427,17.0923,16.9885
kdin-1,14.0607,13.8599,14.3869,14.7034,13.6681,13.8291,13.4314,13.5216
tag-273,17.9037,18.1408,18.2388,18.4179,15.9665,15.8482,16.026,16.1803
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",14.2514,13.6343,14.3166,14.7568,12.2756,12.3501,10.9582,12.1981
pps-1,16.9277,16.9882,16.7831,17.9848,15.3031,13.9893,14.1854,15.2644
cka-1,14.8416,15.4305,16.2572,17.6152,14.182,15.2123,15.0108,14.2918
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2815,14.3868,14.4725,14.9605,13.3919,13.4873,13.3822,13.5391
spp-18,14.277,14.1225,13.6839,15.0089,14.7652,15.4042,15.9958,16.5278
lin-66,14.25,14.441,14.4749,14.5368,13.7457,13.1536,12.5701,11.2878
"CELE_F09E10,7",14.2173,14.1746,14.1429,14.8907,13.1297,13.6954,13.5721,13.5913
"CELE_F10C1,9",14.1701,14.1251,14.3814,15.0562,14.5513,14.0597,14.1416,14.0431
itx-1,16.1639,16.1252,16.1658,16.7853,14.8645,14.8632,14.8308,14.718
"CELE_Y41E3,7",14.6389,15.5725,16.038,15.1986,14.6259,14.8664,15.37,13.9504
"CELE_Y105C5B,15",14.3666,14.1884,13.6107,14.7568,13.2965,12.9016,12.9735,13.2549
lim-9,14.3061,14.3051,14.3001,14.9978,14.5234,14.4169,14.8993,14.6719
"CELE_Y105E8A,25",14.281,14.4162,14.1802,15.156,13.2962,13.2075,13.7434,13.4407
pgp-2,15.5056,14.8773,15.8577,16.2587,14.7292,14.8409,14.8326,14.8153
lpd-3,14.5079,14.1863,14.3007,14.5037,14.7406,16.5295,17.4577,17.254
tln-1,14.7834,15.8676,15.3835,15.1703,13.7721,13.5973,14.1944,13.9062
max-2,18.3792,17.8231,17.5291,18.4921,14.2807,13.6385,13.8102,14.131
egl-27,14.397,14.1208,14.3659,14.8478,13.5924,15.3326,14.5495,13.7417
cdc-14,14.0134,13.9992,14.4636,15.1621,10.0184,9.87131,9.89537,9.90331
daf-16,14.1039,14.3826,14.3178,14.7611,13.4251,13.116,13.6714,13.4711
"CELE_T16H12,3;T16H12,3",14.2774,14.3938,13.7544,14.5154,12.4847,13.4082,13.6087,12.207
lev-11,17.5835,17.5333,16.8948,18.4039,13.6743,13.3467,13.5871,14.0535
gld-2,14.3488,14.3527,13.9096,14.9169,13.0836,13.5281,13.015,11.7589
ncl-1,14.4803,13.9704,14.4543,15.1209,15.027,15.1476,15.1867,14.9605
"CELE_D1069,3",14.4058,11.0788,13.4142,15.1272,12.4808,10.997,11.3155,6.29544
lin-23,14.4909,14.3822,13.5793,14.943,14.6164,14.6201,14.8182,14.7393
"CELE_Y50D4B,1",14.4588,14.3447,13.9316,14.7977,13.6227,12.8805,13.0266,15.548
"CELE_Y39A1A,21",14.5117,14.1148,13.8624,15.0471,11.3098,11.7244,11.9371,12.1402
dre-1,18.8041,18.8026,15.9709,20.6601,16.8521,17.5528,17.5296,17.0168
gck-1,15.7454,13.3462,16.5441,17.5934,15.126,15.0707,14.7736,14.886
gly-7,17.6391,17.7547,17.8132,17.9318,14.4632,13.9384,14.0462,14.235
"CELE_F40A3,3;F40A3,3",19.9898,20.3698,19.8862,21.0196,17.6745,18.587,18.0588,17.8006
"CELE_Y50D4B,4",12.8793,13.7637,13.5127,14.6463,14.7622,15.344,15.3902,15.3831
cdf-1,15.0753,14.3218,15.2003,15.1188,13.5598,12.8471,12.2454,12.3073
unc-34,18.6095,19.2727,18.5954,18.8462,16.1005,16.2428,15.4881,15.338
tbh-1,17.546,17.7325,17.6712,19.3978,14.8463,13.869,14.1361,14.6965
lev-11,23.9041,24.1488,23.792,23.8759,21.6604,21.8609,21.7249,21.1096
imp-3,14.2619,16.3201,15.9757,15.4478,11.6595,11.537,11.9189,12.0689
prdx-2,22.1243,21.961,22.5156,22.2658,20.93,21.236,21.3004,21.2097
jhdm-1,14.17,14.0463,13.9909,14.4271,14.3853,14.2042,13.9326,13.8015
mrck-1,14.9463,15.0883,15.8627,15.26,13.3518,13.2695,13.1939,13.5251
nhr-86,14.3783,14.425,13.8587,14.6482,12.3253,12.373,12.634,12.7489
aat-3,14.4877,13.4276,14.8521,14.2447,12.1389,13.0892,12.9022,12.4945
"CELE_M02H5,8",18.3782,17.6726,17.7523,18.2971,18.7358,18.3593,18.3323,18.1816
"CELE_T08B1,1",17.1682,17.1618,18.0439,17.056,15.4472,15.5818,15.5373,15.2916
lipl-5,17.4404,17.3251,17.2111,19.3081,14.6172,14.4394,14.1656,14.5566
fln-2,18.5361,18.3068,18.1672,18.5688,15.8547,15.4755,15.7544,15.8749
"C14C6,5",18.169,16.7952,18.1042,17.4029,13.4761,13.7285,14.4,13.8321
"CELE_T08B1,1",14.5177,13.3085,14.4646,15.1285,9.92087,9.83609,9.95917,9.86356
zig-11,16.8464,16.7332,17.3151,17.1802,12.6669,12.4196,12.6057,13.0438
ilys-5,16.6843,17.1937,16.9247,17.7038,17.7451,17.5708,17.6705,17.9189
irg-3,16.6299,15.221,16.7599,15.2772,14.5273,14.1672,14.347,14.7562
tns-1,17.6292,16.934,16.8778,18.0926,14.9621,15.0611,14.9681,14.9841
ubr-4,14.8,15.1381,13.5592,15.8839,12.4933,13.1581,12.2734,13.0165
ccar-1,16.2876,16.5611,15.7444,17.1838,14.9522,15.1393,15.5796,15.0925
ulp-2,14.516,14.2873,13.9184,15.0274,12.7519,13.8253,12.2326,13.9428
"CELE_T23F4,2",16.228,15.9278,16.5846,16.8872,14.0498,13.1419,13.5994,13.9626
sago-1,15.9689,15.7802,16.2823,16.1639,13.4302,13.4341,13.3097,13.2551
sago-2,14.4562,14.4209,13.5713,15.1045,11.8545,11.9899,12.216,13.436
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",14.3337,14.3133,14.3359,14.5867,13.6684,13.1754,13.0629,13.1592
daf-4,16.1254,17.9632,17.1751,16.2886,13.7149,13.1534,13.8904,13.247
hpo-3,14.1363,13.1518,13.8659,13.9722,10.424,11.9341,11.8484,10.5638
acs-22,14.3847,14.3445,13.9106,15.1405,14.6643,14.6948,14.526,14.4845
tag-10,16.7774,16.7127,16.4418,17.2602,14.8529,15.4464,15.6012,15.3167
imb-2,16.5141,15.4188,16.4522,16.2065,14.2464,13.7576,13.8201,13.4258
brf-1,13.5358,13.4215,13.2232,14.8229,12.2107,11.89,11.9915,12.3855
"CELE_W09B6,4",14.8901,15.7108,16.5247,16.4126,12.7863,13.1092,13.2238,13.7984
irg-7,19.3271,19.0947,19.2671,20.1542,18.4433,18.1981,17.9343,17.8635
"CELE_F27B10,1",14.3632,13.6236,14.3735,14.8436,12.9254,14.2495,14.251,12.7808
"CELE_T22F3,3",14.4646,14.27,14.2207,14.8722,9.88843,9.835,9.84919,9.97705
die-1,14.4552,14.3986,13.9343,14.5848,12.188,12.711,12.9452,12.8769
dhs-11,14.5057,14.1558,14.4594,15.0856,15.0334,15.1715,15.2211,14.8428
tbc-14,16.0316,16.81,15.7661,15.8938,14.4735,14.6009,14.4625,14.6856
cyp-34a6,13.8158,13.5077,14.4739,14.054,13.1808,13.1618,12.5421,13.1831
fipp-1,15.9003,15.0766,15.7207,16.1953,14.3137,13.6219,13.703,14.5507
unc-132,16.7321,16.7146,16.8607,17.0371,14.8457,14.5438,14.8722,15.1207
cdh-4,14.3364,14.0395,14.216,15.0928,14.6285,10.7644,12.3328,12.1037
ajm-1,14.1897,13.9917,13.9553,15.072,11.6345,9.20727,9.73068,9.71515
"CELE_ZC412,3",19.361,19.3437,19.3241,20.1146,16.3825,16.3468,16.0183,16.3954
farl-11,14.325,14.3164,14.4535,14.7686,12.5623,12.2601,12.5787,11.0992
let-711,16.6155,15.1614,16.2159,17.5791,14.9091,14.9139,14.7055,14.8083
"C40H1,7",14.4782,14.1286,14.43,14.6104,14.2645,13.5869,14.2285,15.5304
spat-2,16.2014,16.6957,17.0625,17.522,14.5842,14.6005,15.0498,14.4684
aakg-1,15.5354,16.2973,16.397,17.2766,12.5361,12.4798,12.5641,13.2818
grl-23,14.0845,14.3953,14.0122,14.7374,12.3924,7.84233,13.0013,9.08838
spat-2,17.1363,16.0308,17.3242,18.1571,13.255,13.2865,13.1384,13.2323
"CELE_Y55F3BR,6",14.2976,14.1019,14.2455,15.0564,13.4095,12.62,12.8433,13.1659
vab-10,21.0819,20.3173,21.0967,21.7864,17.4039,16.9936,17.0356,17.4125
"eif-3,l;eif-3,L",17.3957,17.3569,17.3764,18.6601,17.153,16.7416,16.7568,17.3188
"npp-25;npp-25;npp-25;Y37D8A,17",17.6128,16.3803,16.2,15.7966,16.1433,16.2131,16.1249,15.949
cnt-1,14.4444,14.4314,14.475,14.9247,11.1371,12.6871,12.2839,12.3774
"C26G2,2",14.3312,15.4872,15.4595,16.0877,12.1694,12.535,12.8624,11.5929
"CELE_F43B10,1",14.3564,14.2042,14.4094,15.0269,13.0402,13.4013,13.6621,13.8394
ubc-15,14.4648,14.4094,14.1878,13.6447,13.8559,14.9652,15.4026,14.352
"CELE_Y55F3BR,10",14.2362,14.423,14.1566,15.1419,14.4562,14.2971,14.4081,14.3763
"CELE_Y38F2AR,12",14.1664,13.6575,14.7004,14.2198,13.6756,13.3228,13.189,13.3403
ttr-42,17.8589,18.5957,19.0153,19.1432,15.3834,16.6743,16.1653,15.7346
"CELE_H29C22,1",19.7232,19.0382,19.4349,19.5799,16.0658,16.055,16.1323,15.6438
"CELE_F07G6,10",14.0299,13.6734,14.1505,14.6029,12.2307,15.4786,14.18,12.9487
ttr-34,14.142,14.4011,14.2462,14.9528,15.2377,15.9983,15.8902,15.3033
"CELE_Y49E10,29",14.3041,14.38,14.4774,14.8269,9.88784,9.90324,9.96685,9.98732
cnnm-1,16.0608,15.1779,15.6514,15.8142,13.485,12.7277,13.3425,13.2982
col-138,18.6385,18.8246,19.4709,19.2545,14.9514,14.7604,13.5275,13.502
oac-59,14.2271,14.3903,14.249,14.3717,13.155,13.3144,12.8476,11.921
"C42C1,8",15.253,15.5304,15.5021,18.6603,13.0762,12.5553,12.5452,12.9929
"C42C1,11;AP-1",15.4008,15.534,15.8288,16.2848,14.507,14.5696,14.5518,14.5812
rpl-34,17.3861,17.2681,16.3446,18.1643,19.574,20.0236,19.6242,19.5446
erl-1,15.7318,15.4876,15.4696,16.0848,14.3086,13.6026,13.9195,14.2569
tag-335,14.2674,13.8168,14.0557,14.0625,13.6554,13.9881,13.9747,13.9607
fbxa-6,14.2727,14.1395,14.314,14.919,13.1911,13.0923,12.6557,12.2958
"CELE_cTel55X,1",14.4315,13.7603,14.3592,15.0578,14.5398,15.1367,15.2355,14.745
"C44C10,9",16.9396,16.6029,16.3646,17.5186,14.1886,14.2101,14.3073,14.3652
"CELE_F14D7,12",14.4169,14.4439,13.7384,14.8879,14.1236,12.8066,14.2791,16.9308
"CELE_D1086,17",14.4628,14.4112,14.2741,14.84,12.3931,12.0283,12.3626,12.4447
"CELE_W06G6,15;CELE_Y70C5B,2",14.3863,14.4106,14.1874,15.09,12.0945,11.9526,12.2859,12.9974
"CELE_Y71F9AR,4",14.3003,14.3656,14.1799,15.1433,11.4946,12.668,12.8227,11.3493
"CELE_Y47G6A,33",14.0678,13.8568,14.8909,13.7311,15.886,16.0881,16.1074,16.4014
"CELE_ZK813,7",19.9048,21.3434,20.9199,21.4929,16.4209,15.4916,14.1158,16.6534
"CELE_T28A11,2",19.7567,19.4839,19.8566,20.3092,15.2786,14.9213,15.2094,15.2847
guk-1,16.549,17.1327,17.1646,17.1503,15.9845,16.1979,16.1398,16.0946
"CELE_Y53C10A,6",14.3978,14.3847,14.2994,13.8544,10.2654,11.2035,11.257,10.3809
"CELE_Y48C3A,18",14.4792,14.3649,14.0998,14.5937,12.2969,12.4001,12.8513,12.904
"CELE_Y39B6A,3",13.9212,14.3806,14.4219,15.1674,13.5914,13.5708,13.474,14.2635
dab-1,14.8271,14.2647,15.8807,15.1402,14.2297,14.2801,14.4464,14.5165
"CELE_F25H8,1",14.2443,14.3088,14.3442,14.1746,14.4923,13.6965,13.469,14.0493
swsn-9,14.5044,13.1219,14.1506,14.9601,13.0938,13.4431,13.4506,13.3054
"CELE_ZC434,7",13.8976,14.4276,14.0451,15.0324,13.178,12.5662,12.727,13.0425
rad-50,14.0474,14.4321,14.173,14.6315,8.2136,11.2991,12.0417,10.3254
"C25F9,11",17.6768,17.0138,15.8545,19.0372,12.7723,15.9069,15.7317,13.7496
sin-3,17.9372,18.0293,17.74,16.5773,12.7658,11.2803,11.6526,12.6792
hmp-1,16.2607,15.5756,15.7103,17.1084,15.4073,15.6288,15.6941,15.3812
dhs-3,16.1222,17.1768,16.7072,17.5146,16.3399,16.3486,16.5119,16.5189
nra-2,15.692,16.2532,15.8641,17.5102,15.0574,14.8279,14.9195,14.649
"CELE_Y37H2A,14",16.3432,17.7678,16.7697,16.901,14.3593,12.5944,13.1906,13.153
"CELE_F27E5,7",14.2618,14.3444,13.9971,14.8109,14.1489,13.4646,13.5682,14.2417
saps-1,14.0547,14.2941,16.4338,14.4957,13.9408,14.2913,14.0402,14.0357
"CELE_ZK809,8",14.2695,12.9083,14.119,13.8433,10.0039,9.85719,9.76661,9.87878
"CELE_D1081,7",14.3655,14.2836,14.2186,14.6125,12.8055,12.3297,11.9239,12.9526
aph-2,14.4661,13.9806,14.3874,13.5701,12.1691,11.8876,13.1068,9.72659
"CELE_F15B9,10",16.8455,17.0401,17.0017,18.2177,14.6877,13.995,14.1269,13.9099
"C27A7,5",14.2037,14.2535,14.2594,15.0751,13.0158,13.659,13.4456,13.065
"CELE_F30A10,13",14.3055,14.4426,13.4924,14.4603,13.3899,13.104,12.9573,13.2729
"CELE_F30A10,14",18.5721,18.008,18.6024,18.7602,13.8963,14.5468,14.2609,14.2262
"C04H5,7",14.157,14.3245,14.4457,14.2892,12.1988,12.0401,12.1341,12.3346
"C13B4,1",13.3297,13.8143,14.4396,15.0292,12.7224,11.1998,11.8868,12.2042
"CELE_F02E9,10",15.6673,15.4918,15.6503,15.7946,12.9656,13.2166,13.3601,12.7306
"CELE_R13H4,2",14.1632,14.0152,13.9331,15.0071,15.8669,15.4715,15.7473,16.073
"CELE_ZK228,4",13.784,13.6488,14.391,15.1275,13.6659,15.5929,13.014,14.0352
"CELE_K02B7,3",18.5571,19.1433,18.726,18.8657,15.4842,15.9717,15.8603,16.0683
nuo-3,14.3211,14.2314,14.4559,15.1531,14.6403,14.6561,14.3871,13.9839
"C44E4,5",16.0339,16.004,15.7184,16.2394,13.0856,13.6019,13.0804,13.2907
"CELE_F49E2,2",16.9516,15.8337,16.3127,16.9454,14.9222,14.5115,14.6558,14.7803
"T07A5,7",18.8922,18.1141,18.0676,19.6482,16.7599,16.6278,15.9673,16.8248
"CELE_T04F8,7",17.2409,16.9135,17.3461,16.6587,14.6368,14.4419,14.7348,14.3996
"gpb5;CELE_T23B12,8",14.5027,13.486,14.2612,14.8979,9.99526,9.93861,9.95365,9.92834
"CELE_F49D11,10",15.1902,15.7259,15.1396,17.0037,15.3927,15.2793,15.3868,15.34
oxy-5,14.114,14.1387,14.0786,14.9661,18.0946,17.3907,17.1208,17.5382
mrg-1,17.029,16.9183,17.5271,18.5742,15.3139,15.1146,15.3598,15.1187
obr-1,14.3501,14.2005,14.257,15.0693,13.3456,12.3222,12.7199,12.8299
igcm-3,14.5102,14.3944,14.3733,15.0574,13.0148,13.3857,13.068,12.8401
unc-16,14.6116,14.9428,14.1768,16.0579,12.3277,12.9536,12.9791,12.8507
gpdh-2,18.779,19.1198,19.2772,20.1526,17.6922,17.6101,17.6925,17.6092
sly-1,14.2057,15.8866,15.4657,14.6305,14.4503,14.5752,14.8006,14.4731
"B0393,9",14.1744,14.2543,14.4518,14.6376,13.3019,14.9448,14.5423,13.4613
cisd-1,20.5226,19.4723,19.6272,20.8033,17.8053,18.3354,18.1713,18.1231
"CELE_F09E8,2",16.4812,16.1217,16.1351,17.643,14.458,14.2843,14.1791,14.6819
lsy-22,13.6636,14.0056,14.445,14.8512,13.377,13.2583,13.2143,13.1283
"C24H11,5",14.5029,13.9383,14.1618,15.1105,12.4559,13.2339,12.8121,12.9305
"CELE_F10A3,17",17.9344,18.8143,18.7017,17.803,13.1422,14.7696,14.1531,15.1806
pnc-1,15.9551,15.7123,15.8519,17.2375,14.7789,14.7761,14.3224,15.038
"CELE_Y94H6A,12",14.2524,14.4438,14.2535,14.7731,11.6805,11.4467,11.5949,12.0279
