geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
eps-8;G5ED33,16.7072,19.1966,20.1808,17.7618,17.5327,19.8041,20.9319,19.6009
eps-8;G5ED33,21.3231,20.8525,18.3048,21.9144,17.1798,18.6986,21.2561,21.0882
eps-8;G5ED33,21.2258,21.3047,21.0456,20.6389,20.7311,21.7289,19.4175,17.9633
eps-8;G5ED33,20.7482,20.7905,20.7217,19.259,25.4427,25.1152,25.5114,24.5829
eps-8;G5ED33,20.492,19.8716,20.3491,18.6497,23.8439,24.3591,25.0551,24.8455
eps-8;G5ED33,20.7914,18.9471,21.5243,21.0692,18.8139,19.5756,21.0625,19.1871
eps-8;G5ED33,20.4227,18.3571,19.618,21.6177,19.1268,19.4666,19.463,19.8508
;A0A061ACQ8,25.1233,24.8938,25.9115,24.5449,25.1179,25.6788,25.3254,25.0607
;A0A061ACQ8,19.9121,20.2161,19.0178,19.4925,19.3402,20.135,17.2983,16.8941
;A0A061ACQ8,25.1325,25.2518,24.1717,25.8192,18.8628,20.9229,20.6477,21.4521
;A0A061ACQ8,25.1325,25.2518,24.1717,22.853,19.9375,18.9843,21.5938,19.9823
T14G10.5;A0A061ACR1,24.3332,24.2495,23.1299,24.264,19.7171,19.1901,19.1267,19.7952
pezo-1;A0A061AL01,20.5116,21.8091,20.3211,19.6159,16.1122,19.4221,20.4245,20.9586
pezo-1;A0A061AL01,21.8251,21.7933,20.1921,20.2498,21.007,19.7355,20.3847,19.7913
;B3GWD8,21.2651,19.3165,19.4311,20.1715,22.6992,22.7306,24.1893,21.0493
;B3GWD8,19.4375,21.3968,19.2826,19.6967,20.5715,19.9464,17.1615,21.2368
;B3GWD8,21.2096,20.3949,19.5296,21.8822,20.3282,21.7727,19.1176,21.5312
ard-1;A0A061AD09;Q19102,19.6149,20.0751,19.3603,19.5791,19.9764,18.4282,19.5034,18.9757
lim-9;Q3S1I9,17.6619,21.1208,20.0137,19.8695,19.0928,17.2822,19.4194,21.3455
lim-9;Q3S1I9,21.5255,19.9551,20.3572,20.8448,19.6106,20.3,20.035,19.4295
pgp-2;G5EDF9,16.5769,19.2307,21.0463,19.3424,18.7199,20.445,17.3022,18.8472
pgp-2;G5EDF9,23.341,21.9295,23.7218,24.5733,16.3937,20.4237,20.9377,18.8993
pgp-2;G5EDF9,19.909,20.7687,21.3029,18.8524,18.7538,18.7701,18.7407,19.0366
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.8617,19.5611,17.9838,21.4556,21.4698,20.5738,19.1009,21.3845
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,22.9261,21.746,22.1229,21.9687,20.2377,19.7373,18.5143,17.9382
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.3449,25.5837,26.722,24.2789,26.045,25.6702,27.109,26.0397
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.2675,19.9202,21.1537,19.4419,17.2868,18.7173,21.439,20.6722
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,20.1862,20.9037,20.0813,19.2361,19.6958,21.2905,19.8868,17.9633
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.1908,23.3092,23.1749,26.0765,26.1909,26.0301,26.2682,25.1585
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,19.098,19.5447,18.8981,20.5491,20.8913,17.5493,19.4176,17.826
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.4802,18.4788,21.3274,21.0578,26.014,26.2594,25.0266,26.2841
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.2384,20.1402,20.3167,19.8738,18.993,19.9835,19.3398,18.5383
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,25.0909,25.2353,24.7327,23.3769,20.9316,22.1213,22.664,22.536
;A0A0K3AUF2,23.4842,24.3237,24.7313,27.0153,23.1616,21.0025,23.9234,22.1368
lev-11;A0A0K3ARB5;Q27249,18.6965,17.5702,18.7603,19.4817,16.6725,18.9985,20.2566,18.3358
lev-11;A0A0K3ARB5;Q27249,21.1914,20.9461,20.577,20.3822,20.1902,19.864,20.7307,20.6126
lev-11;A0A0K3ARB5;Q27249,19.7377,19.6367,19.8774,19.9885,19.3227,18.3609,20.7834,19.0101
egl-8;A0A0K3AS90,19.667,20.9756,19.7515,18.3044,19.4441,19.905,20.9288,17.4719
ubxn-3;A0A0K3AWX1,26.2291,24.6718,23.6286,23.842,22.1038,22.4952,21.6995,23.0648
ubxn-3;A0A0K3AWX1,20.8702,19.9484,17.7743,20.3774,17.8536,18.3688,20.5987,16.6337
;A0A0K3AVS5,19.427,20.3006,18.7168,18.6917,17.2241,21.0138,20.6899,20.4135
fln-2;A0A0K3AW96,21.8962,22.2889,22.2839,28.1374,18.2501,17.3024,21.2568,19.0738
fln-2;A0A0K3AW96,18.9513,19.1075,21.3324,20.6168,16.8861,21.0535,20.4705,17.0515
fln-2;A0A0K3AW96,24.1065,24.0419,22.2003,22.2459,19.7319,22.0958,23.0487,21.4519
fln-2;A0A0K3AW96,22.0646,22.4318,21.0279,24.6043,18.2568,18.7759,20.7289,19.3757
oac-14;A0A0K3AWB0,25.6774,25.3331,25.09,26.0825,24.3395,24.7182,25.2893,24.3565
oac-14;A0A0K3AWB0,24.3862,23.1534,20.8381,20.9396,20.6595,19.0061,19.501,18.684
;A0A0K3AWM6,25.9493,25.6012,25.5754,23.1712,21.3268,19.617,18.1588,18.4386
lsy-13;A0A0K3AXE0,21.0886,21.4999,20.7911,20.251,17.7523,20.3766,20.8437,19.1607
;A0A0K3AXT9,24.5488,24.5753,24.4112,25.4191,26.6331,25.5033,26.0056,25.2301
;A0A0K3AXT9,26.5519,23.7382,23.6251,26.7241,25.6837,27.4236,26.7681,26.3518
;A0A0K3AXT9,24.0563,23.932,20.6189,24.8547,22.9459,23.2731,24.2958,22.699
;A0A0K3AXT9,26.2573,25.6321,28.665,26.7989,26.4625,27.1201,26.9259,23.9472
;A0A0K3AY44;O44557,19.5968,20.9882,20.0661,16.4617,20.4477,21.1136,21.5285,22.3123
;A0A0K3AY44;O44557,20.3783,19.1438,21.3597,19.1152,18.7914,18.0536,18.9134,20.0179
oig-6;A0A0K3AY85;Q9BPN5,26.0559,26.5591,24.9241,25.4423,18.0733,19.3085,20.6588,17.6614
oig-6;A0A0K3AY85;Q9BPN5,23.5871,23.9683,25.3567,24.4127,19.8893,18.5783,19.0812,19.4721
;A0A0K3AYE8,24.4572,24.8878,25.6251,27.91,20.1948,17.4668,19.5318,17.8033
;A0A0M7RFG7,25.3281,26.0452,24.9236,26.9336,23.7544,25.0076,24.5941,24.4377
;A0A0S4XRR1,24.5958,24.8698,26.0051,27.4777,24.8747,23.4387,24.2034,23.0068
;A0A0T7CIX3,22.9383,22.0394,22.2281,23.7173,19.51,19.1802,20.3095,19.3
;A0A0T7CIX3,19.4471,20.2607,17.7943,21.2995,19.0947,19.2576,19.5517,19.6653
;A0A0T7CIX3,19.5696,19.6583,19.65,20.2479,18.5236,19.0979,18.6697,19.6895
rpl-11.1;A0A131MBQ6;Q94300,20.793,20.0731,19.8897,20.7316,18.383,19.7354,20.2466,18.8817
mdt-18;A0A131MCJ5,19.6294,19.1603,19.5919,20.5718,20.0335,20.9121,18.073,16.3575
rnf-5;A0A131MD51,23.4268,22.3253,22.5068,23.375,24.1954,24.241,24.7764,24.8024
fipp-1;O16293,19.0945,21.2773,19.7128,19.6396,19.1847,19.6218,19.2725,21.1687
;O02147,21.308,20.1025,21.1362,21.2724,18.1144,20.3707,19.4255,20.6059
spat-2;F3Y5Q3,21.9463,17.9953,20.3673,20.0127,19.6783,20.0169,21.5682,16.9123
;Q9N350,17.9309,19.3761,19.6897,21.1699,22.7144,23.3217,24.9161,23.4527
;Q9N350,25.5189,23.3498,23.9741,25.3303,23.2303,23.3644,23.6562,23.8135
;A0A1N7SYR3,19.2228,20.559,18.641,19.5258,23.8067,23.9231,23.9464,22.5394
;A1IMB7,19.5254,20.1955,21.6526,20.884,23.4745,23.6091,23.6917,23.2513
;A3QMB7,21.3972,18.4257,19.7594,20.2966,22.3757,23.0182,23.0929,23.6651
;J7SF86,20.7093,18.3312,19.9624,19.0831,19.2189,19.3868,20.6807,17.793
;U4PRJ1;Q95ZL3,17.6405,20.0444,20.1618,19.7342,20.6035,19.2351,21.7549,19.1234
dhs-3;A5JYX4,19.3751,18.7574,18.2992,21.2439,18.3523,21.2156,19.5447,17.3114
