geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
eps-8;G5ED33,16.7072,19.1966,20.1808,17.7618,23.8555,23.2074,23.9511,24.3365
eps-8;G5ED33,21.3231,20.8525,18.3048,21.9144,21.9286,21.3864,20.4347,21.5976
eps-8;G5ED33,21.2258,21.3047,21.0456,20.6389,23.4835,24.2371,23.8393,24.4495
eps-8;G5ED33,20.7482,20.7905,20.7217,19.259,22.9099,24.0892,24.2362,23.2418
eps-8;G5ED33,20.492,19.8716,20.3491,18.6497,21.8965,20.3186,22.5549,23.1651
eps-8;G5ED33,20.7914,18.9471,21.5243,21.0692,21.1765,21.0658,21.4885,21.6995
eps-8;G5ED33,20.4227,18.3571,19.618,21.6177,20.9889,21.6704,22.3464,22.0644
;A0A061ACQ8,25.1233,24.8938,25.9115,24.5449,23.9196,24.8655,24.899,26.1364
;A0A061ACQ8,19.9121,20.2161,19.0178,19.4925,21.5992,20.809,20.9413,21.1447
;A0A061ACQ8,25.1325,25.2518,24.1717,25.8192,27.2762,26.8353,26.7459,27.5041
;A0A061ACQ8,25.1325,25.2518,24.1717,22.853,27.2762,26.8353,26.7459,27.5041
T14G10.5;A0A061ACR1,24.3332,24.2495,23.1299,24.264,24.8872,25.1844,24.1479,24.599
pezo-1;A0A061AL01,20.5116,21.8091,20.3211,19.6159,21.2511,21.1867,18.9654,20.3907
pezo-1;A0A061AL01,21.8251,21.7933,20.1921,20.2498,23.1739,22.0387,21.808,22.5403
;B3GWD8,21.2651,19.3165,19.4311,20.1715,21.5379,19.9172,21.2065,19.3403
;B3GWD8,19.4375,21.3968,19.2826,19.6967,21.8973,21.7259,21.2138,21.8058
;B3GWD8,21.2096,20.3949,19.5296,21.8822,21.6392,21.0082,21.3492,20.8212
ard-1;A0A061AD09;Q19102,19.6149,20.0751,19.3603,19.5791,21.3986,21.2608,21.4654,21.2513
lim-9;Q3S1I9,17.6619,21.1208,20.0137,19.8695,21.2028,21.0694,20.5769,21.3834
lim-9;Q3S1I9,21.5255,19.9551,20.3572,20.8448,21.6606,21.3918,20.915,21.4468
pgp-2;G5EDF9,16.5769,19.2307,21.0463,19.3424,22.3729,22.3957,21.4728,22.4389
pgp-2;G5EDF9,23.341,21.9295,23.7218,24.5733,22.3368,21.5555,21.7559,21.8566
pgp-2;G5EDF9,19.909,20.7687,21.3029,18.8524,21.2489,20.283,21.2956,19.8853
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.8617,19.5611,17.9838,21.4556,21.9577,20.3436,19.9513,21.6882
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,22.9261,21.746,22.1229,21.9687,23.824,24.2237,24.7437,25.3436
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.3449,25.5837,26.722,24.2789,25.9499,27.0139,26.7184,26.2778
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.2675,19.9202,21.1537,19.4419,23.6729,23.1417,24.9478,24.9932
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,20.1862,20.9037,20.0813,19.2361,24.0717,23.4302,22.9369,23.4216
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.1908,23.3092,23.1749,26.0765,26.349,25.7396,28.6875,27.9636
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,19.098,19.5447,18.8981,20.5491,25.3626,25.5536,25.8357,26.6962
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.4802,18.4788,21.3274,21.0578,21.7925,21.4862,20.6125,21.7089
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.2384,20.1402,20.3167,19.8738,21.2213,20.6539,21.3595,21.6727
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,25.0909,25.2353,24.7327,23.3769,26.9802,27.5772,24.8865,26.698
