geneName;Leading.proteins,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
eps-8;G5ED33,23.4587,24.0664,23.1137,25.0985,26.4047,26.7502,25.6981,25.15
eps-8;G5ED33,25.0749,25.3106,24.0962,24.1866,25.3984,26.2714,22.5561,25.9233
eps-8;G5ED33,20.0707,21.7295,21.2479,20.9707,23.8377,23.445,23.0266,24.8074
eps-8;G5ED33,20.4936,20.3288,19.9947,21.4875,18.7979,17.9392,20.3093,20.6005
eps-8;G5ED33,24.1916,24.2188,25.0236,23.9262,23.6389,24.2897,24.7304,24.1662
eps-8;G5ED33,23.3225,23.5801,24.0032,24.7963,18.0559,18.292,17.6013,18.6678
eps-8;G5ED33,18.4543,16.9512,18.7781,19.1706,23.4654,24.3865,23.4633,23.7047
;A0A061ACQ8,18.8745,19.1804,17.66,18.8705,16.5056,18.38,17.1296,18.1723
;A0A061ACQ8,24.7423,22.5354,21.8131,23.5553,19.7627,17.9313,17.2044,15.3776
;A0A061ACQ8,24.9853,24.6852,26.1816,25.3441,24.3708,25.2928,24.7066,24.4424
;A0A061ACQ8,24.9853,24.6852,26.1816,25.3441,24.3708,25.2928,24.7066,24.4424
T14G10.5;A0A061ACR1,24.3086,23.4591,25.2728,23.3645,24.1096,23.9908,22.2437,24.156
pezo-1;A0A061AL01,20.9844,19.2787,19.0681,18.4461,20.6948,16.971,18.084,21.1241
pezo-1;A0A061AL01,20.9798,18.8131,21.2636,20.025,20.0754,18.2202,17.6589,16.784
;B3GWD8,20.8685,19.6437,20.537,19.1416,16.4716,20.1434,18.0472,17.2104
;B3GWD8,19.715,20.1627,19.7253,17.7271,17.632,19.3657,18.0831,17.2284
;B3GWD8,20.1273,18.8333,20.6156,20.7385,18.4499,19.4154,20.0343,20.7251
ard-1;A0A061AD09;Q19102,21.1623,16.0536,21.1649,18.807,17.906,21.1345,16.4319,16.1673
