geneName;Leading.proteins,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
eps-8;G5ED33,23.4587,24.0664,23.1137,25.0985,22.0793,23.3671,23.3845,23.2758
eps-8;G5ED33,25.0749,25.3106,24.0962,24.1866,21.8502,20.328,21.6943,20.7008
eps-8;G5ED33,20.0707,21.7295,21.2479,20.9707,24.5216,22.7272,24.7716,25.6816
eps-8;G5ED33,20.4936,20.3288,19.9947,21.4875,23.9434,24.9522,23.8299,25.4669
eps-8;G5ED33,24.1916,24.2188,25.0236,23.9262,25.2289,25.084,24.6537,24.4369
eps-8;G5ED33,23.3225,23.5801,24.0032,24.7963,20.9934,20.1383,20.565,21.4765
eps-8;G5ED33,18.4543,16.9512,18.7781,19.1706,26.3567,25.103,25.1873,26.2083
;A0A061ACQ8,18.8745,19.1804,17.66,18.8705,25.6572,25.2059,25.6378,24.9202
;A0A061ACQ8,24.7423,22.5354,21.8131,23.5553,20.9167,20.157,21.6092,20.6234
;A0A061ACQ8,24.9853,24.6852,26.1816,25.3441,24.8245,24.1733,25.3429,22.6609
;A0A061ACQ8,24.9853,24.6852,26.1816,25.3441,24.8245,24.1733,25.3429,22.9507
T14G10.5;A0A061ACR1,24.3086,23.4591,25.2728,23.3645,20.6108,20.9844,20.9991,20.4449
pezo-1;A0A061AL01,20.9844,19.2787,19.0681,18.4461,21.2686,20.8189,21.433,19.8521
pezo-1;A0A061AL01,20.9798,18.8131,21.2636,20.025,24.2228,22.9565,24.0277,26.6275
;B3GWD8,20.8685,19.6437,20.537,19.1416,24.5006,24.5776,25.4118,24.2319
;B3GWD8,19.715,20.1627,19.7253,17.7271,21.5394,18.8297,21.306,21.0766
;B3GWD8,20.1273,18.8333,20.6156,20.7385,24.0581,22.4732,23.4203,22.4659
ard-1;A0A061AD09;Q19102,21.1623,16.0536,21.1649,18.807,20.9959,21.2959,20.9351,20.4192
