geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
"CELE_Y62E10A,13",11.3554,8.10436,9.38045,10.4464,11.8582,11.9786,11.6818,13.1573
cars-1,16.1075,16.3522,15.8168,16.1662,17.491,17.7836,16.9469,16.8786
eps-8,15.6027,15.3869,14.0775,14.3634,13.3212,13.2322,12.972,13.1131
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.5319,16.6517,16.4404,16.4774,17.9998,17.8431,17.431,17.6452
pezo-1,14.9727,15.208,15.1849,15.344,15.2204,15.3511,15.7552,16.1355
twk-9,16.9242,17.1493,17.8353,17.5592,16.561,16.156,16.7497,16.1041
epi-1,17.1279,17.5438,17.0597,17.2595,18.0254,17.6787,17.736,17.8522
kdin-1,13.0056,13.2505,13.4264,13.3654,14.6547,14.2895,14.3799,14.205
tag-273,16.5015,16.5437,16.458,16.5743,17.2222,16.9598,16.8673,16.9006
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8776,12.8146,12.929,13.0728,13.4196,13.8567,13.4172,13.5172
pps-1,14.9095,14.5201,14.0743,14.7224,16.4563,15.7657,15.6139,15.7992
cka-1,12.7984,12.9611,13.6862,13.8228,14.9148,13.9611,15.9528,15.8218
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.6173,13.0353,12.4388,12.5493,13.1864,10.5308,11.6429,13.2391
spp-18,16.373,16.9781,16.7208,17.007,19.7195,19.6969,18.1225,18.6918
lin-66,14.5827,14.6179,13.6819,14.7544,13.2004,13.2416,12.5728,13.0108
"CELE_F09E10,7",14.2571,14.4518,14.1071,14.5699,17.8345,17.0631,13.2338,13.8236
"CELE_F10C1,9",11.8453,12.2266,11.2579,11.6011,14.5694,14.4741,13.679,13.984
itx-1,15.0718,14.9494,14.8635,14.9809,16.1498,16.0867,15.8294,15.8565
"CELE_Y41E3,7",14.3709,13.8693,13.9608,13.8687,14.3975,14.9845,12.9662,15.3183
"CELE_Y105C5B,15",13.783,13.271,13.2557,13.5441,13.3157,12.9472,12.7502,13.0779
lim-9,14.6326,14.7163,14.7474,15.1376,15.3832,14.8193,14.8473,15.1495
"CELE_Y105E8A,25",13.5123,13.1816,13.0543,13.2151,13.9614,13.7784,14.6478,14.7926
pgp-2,15.1777,15.1321,15.0575,15.1647,15.6228,16.1057,15.6253,15.3039
lpd-3,14.3259,14.0766,13.9736,15.5266,15.3052,15.0215,16.074,16.332
tln-1,14.0114,14.7436,14.0475,15.0478,14.6647,14.9014,15.0604,15.3191
max-2,14.9622,15.2805,14.0682,14.3596,16.1548,15.1678,14.8959,15.649
egl-27,14.9714,13.8412,14.4128,14.5895,13.2442,13.2268,12.8905,13.262
cdc-14,10.7319,10.7653,10.6617,10.7681,13.2845,13.3007,12.968,13.2109
daf-16,14.7956,14.4813,14.4375,15.0285,13.3413,13.1219,12.9981,13.2798
"CELE_T16H12,3;T16H12,3",12.4629,12.3007,12.5033,11.9589,12.9464,12.9749,12.9777,12.7559
lev-11,14.5642,15.0783,13.9281,14.3618,16.8021,16.9075,16.1494,16.3531
gld-2,10.6805,10.4422,9.39442,10.5435,11.6598,13.227,12.8715,13.3196
ncl-1,14.3242,12.2912,13.6919,14.1284,13.1967,12.997,12.3461,12.9394
"CELE_D1069,3",10.7146,10.8241,10.7882,10.7076,13.0882,13.0249,12.7673,12.8456
lin-23,14.3646,15.1011,14.299,14.4251,15.1276,16.229,15.7774,14.8958
"CELE_Y50D4B,1",10.3434,10.6748,10.5864,10.8263,15.5986,15.8312,14.2319,15.0058
"CELE_Y39A1A,21",10.6527,10.4638,10.6992,7.86698,12.8914,12.9515,12.8376,12.9806
dre-1,16.7971,16.1175,16.858,15.1961,18.4446,16.6005,17.9721,19.5115
gck-1,14.8571,14.8287,14.8672,15.2236,14.6814,15.4939,13.8252,14.6357
gly-7,13.9867,14.2007,14.251,14.5712,14.3704,14.538,13.3101,13.9649
