geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
"CELE_Y62E10A,13",12.2069,12.0594,9.76451,11.8261,11.3945,11.8454,12.0607,12.7939
cars-1,15.8211,16.1505,15.4504,15.4914,17.0012,16.427,16.4786,16.2597
eps-8,12.2998,11.8259,11.4712,11.7534,14.7489,13.651,14.3442,14.5962
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.9059,16.8133,16.6107,17.1328,17.1779,16.7638,16.9089,17.28
pezo-1,14.9222,14.4529,15.2528,15.1532,15.1979,15.0917,15.0032,16.7631
twk-9,17.1845,15.4121,16.1883,17.3328,15.0646,14.0276,15.4946,15.6371
epi-1,17.394,16.9375,17.068,17.1822,17.454,17.4416,17.0252,17.381
kdin-1,12.3697,13.9836,12.3076,13.9048,13.6171,14.009,13.8207,13.7303
tag-273,17.7318,17.2426,16.9599,17.1441,16.2946,16.0933,16.3976,16.5315
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8317,12.2961,12.512,12.9942,11.832,12.6645,13.1658,12.7295
pps-1,15.4369,14.6658,15.0787,16.4961,15.271,14.9418,15.2142,15.653
cka-1,13.6777,14.3371,14.6652,14.6894,13.0951,14.5308,14.0703,13.9988
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2176,14.4117,13.4286,13.2425,13.3137,12.9601,13.441,14.0119
spp-18,16.5696,15.9392,15.6755,16.5092,16.8055,17.5007,17.378,16.5791
lin-66,14.5355,14.6999,14.4939,14.9344,12.317,12.1892,12.2635,12.7647
"CELE_F09E10,7",14.2578,13.9932,14.6474,15.1687,15.7195,13.3313,13.1655,13.5176
"CELE_F10C1,9",12.2985,11.947,12.4792,11.8912,13.0658,12.3597,12.7821,11.6115
itx-1,15.2263,15.4442,15.1319,15.1181,15.3792,15.1967,15.3792,15.2648
"CELE_Y41E3,7",14.3675,14.3236,13.5239,14.0069,14.6143,15.5077,15.5166,14.3394
"CELE_Y105C5B,15",14.3337,14.6362,14.8568,15.0861,14.2368,14.7536,14.3432,14.4718
lim-9,13.9325,14.4416,14.4983,14.9111,14.2082,15.1166,14.3389,14.132
"CELE_Y105E8A,25",13.1338,12.4764,12.0041,13.3743,14.9721,14.2083,13.9657,14.553
pgp-2,15.5517,15.5128,15.1444,15.5406,15.439,14.9654,15.155,15.4384
lpd-3,17.5258,16.8627,17.8107,18.2929,17.1681,14.8397,15.6861,15.9769
tln-1,14.028,14.6544,14.7886,14.9017,14.5501,14.8535,14.223,15.8737
max-2,12.3222,12.2655,14.0327,12.933,15.6531,14.5138,13.9053,16.096
egl-27,16.4987,14.5871,16.1889,15.6524,14.2126,14.6101,16.28,12.7153
cdc-14,11.6871,11.8917,11.7372,12.0707,11.742,11.9868,11.8271,12.8061
daf-16,11.7855,12.0595,11.7779,12.0944,12.5541,12.0724,12.2682,12.7554
"CELE_T16H12,3;T16H12,3",12.1525,12.0584,11.7014,11.8513,12.5835,12.0612,12.1027,12.7229
lev-11,12.0055,13.1996,12.879,13.5371,16.2472,15.6724,15.509,16.4352
gld-2,12.3058,11.3864,11.6527,12.033,12.5522,11.2392,10.3677,12.7843
ncl-1,12.2917,11.4481,11.3373,12.0885,12.542,12.1807,12.316,12.7383
"CELE_D1069,3",12.0465,11.8805,11.7464,12.0446,12.3731,12.0944,12.3316,12.5939
