geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04
"CELE_Y62E10A,13",12.2069,12.0594,9.76451,11.8261,12.8718,13.6241,13.1723,14.121
cars-1,15.8211,16.1505,15.4504,15.4914,16.4016,16.744,16.2184,16.5853
eps-8,12.2998,11.8259,11.4712,11.7534,12.9619,13.2749,12.9819,12.3774
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.9059,16.8133,16.6107,17.1328,17.4503,17.6303,17.2228,17.2181
pezo-1,14.9222,14.4529,15.2528,15.1532,15.0058,14.2792,16.2589,16.4128
twk-9,17.1845,15.4121,16.1883,17.3328,18.3046,18.1349,16.8766,16.5732
epi-1,17.394,16.9375,17.068,17.1822,17.7883,18.0182,17.4658,17.6494
kdin-1,12.3697,13.9836,12.3076,13.9048,13.0264,13.2506,12.4163,12.606
tag-273,17.7318,17.2426,16.9599,17.1441,17.8664,18.2805,17.7839,17.9963
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8317,12.2961,12.512,12.9942,12.3398,13.2656,12.9281,12.8877
pps-1,15.4369,14.6658,15.0787,16.4961,13.0455,12.9821,12.6379,12.2496
cka-1,13.6777,14.3371,14.6652,14.6894,12.4489,13.0109,13.5044,12.5409
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2176,14.4117,13.4286,13.2425,14.9123,15.6116,14.2647,14.2652
spp-18,16.5696,15.9392,15.6755,16.5092,18.1612,19.2322,18.6168,17.7392
lin-66,14.5355,14.6999,14.4939,14.9344,13.9607,13.9884,14.4919,13.7276
"CELE_F09E10,7",14.2578,13.9932,14.6474,15.1687,15.7667,14.3877,14.8697,13.2229
"CELE_F10C1,9",12.2985,11.947,12.4792,11.8912,12.8939,13.335,13.0136,12.5557
itx-1,15.2263,15.4442,15.1319,15.1181,15.4011,15.9398,15.4638,14.944
"CELE_Y41E3,7",14.3675,14.3236,13.5239,14.0069,13.6666,14.2938,14.4558,14.5345
"CELE_Y105C5B,15",14.3337,14.6362,14.8568,15.0861,15.3516,15.3146,15.5079,14.7261
lim-9,13.9325,14.4416,14.4983,14.9111,15.5677,15.4778,15.6519,15.6344
"CELE_Y105E8A,25",13.1338,12.4764,12.0041,13.3743,15.2256,15.7982,14.7094,14.1762
pgp-2,15.5517,15.5128,15.1444,15.5406,15.1878,15.1079,14.3195,15.1138
lpd-3,17.5258,16.8627,17.8107,18.2929,15.7376,15.4629,15.8295,17.9221
tln-1,14.028,14.6544,14.7886,14.9017,14.0896,14.3584,15.1304,15.6357
max-2,12.3222,12.2655,14.0327,12.933,14.939,15.944,15.3661,15.3956
egl-27,16.4987,14.5871,16.1889,15.6524,13.0035,12.9126,12.9519,12.2116
cdc-14,11.6871,11.8917,11.7372,12.0707,13.1162,13.1696,12.9349,12.4668
daf-16,11.7855,12.0595,11.7779,12.0944,15.5029,16.118,14.7924,15.0596
"CELE_T16H12,3;T16H12,3",12.1525,12.0584,11.7014,11.8513,12.8176,13.243,13.0141,12.2105
lev-11,12.0055,13.1996,12.879,13.5371,18.1945,18.2566,17.6161,18.0451
gld-2,12.3058,11.3864,11.6527,12.033,13.108,13.3404,12.8983,13.0307
ncl-1,12.2917,11.4481,11.3373,12.0885,13.1233,13.2828,12.9295,12.354
"CELE_D1069,3",12.0465,11.8805,11.7464,12.0446,12.8579,14.5717,13.6722,13.2409
lin-23,16.8271,16.1133,16.3452,16.5303,12.9811,13.007,12.8844,12.5119
"CELE_Y50D4B,1",12.3083,12.0572,11.5711,11.9796,12.6791,13.1274,12.9582,13.0105
"CELE_Y39A1A,21",11.8309,11.9709,11.7413,12.0859,12.6679,13.1328,12.9236,12.858
dre-1,15.8318,15.248,16.804,17.2428,15.9558,16.6216,16.771,16.8865
gck-1,15.9486,16.6889,15.6395,15.4748,14.3471,15.7522,14.8482,15.0752
gly-7,13.241,14.1866,15.5177,11.1818,12.8568,12.9011,13.0341,12.6887
"CELE_F40A3,3;F40A3,3",18.6079,18.7012,18.5758,18.6198,19.229,19.3653,19.1852,19.3404
"CELE_Y50D4B,4",14.152,14.1712,13.9178,13.872,14.882,14.4573,15.2848,15.1476
cdf-1,11.5121,12.0259,11.6543,12.0479,13.0061,13.2643,13.0052,12.683
unc-34,14.846,15.3107,14.6993,14.6516,14.2026,15.0414,14.4932,15.0047
tbh-1,17.7529,17.8255,17.6134,17.8,17.6662,17.8817,17.5238,17.9933
lev-11,22.0097,20.8857,21.353,21.3849,23.0006,22.2853,22.7563,22.5511
imp-3,14.8424,15.6232,15.2432,9.27069,12.7313,12.1635,11.3552,15.0767
prdx-2,21.5481,21.431,21.9352,21.9874,22.1747,22.6427,22.6826,22.4196
jhdm-1,14.3262,14.4487,14.2435,14.1746,15.7781,15.9676,15.4427,15.4694
