geneName;Leading.proteins,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
eps-8;G5ED33,26.4047,26.7502,25.6981,25.15,24.8468,23.9004,24.6549,23.9741
eps-8;G5ED33,25.3984,26.2714,22.5561,25.9233,22.9767,21.3006,23.4415,24.2209
eps-8;G5ED33,23.8377,23.445,23.0266,24.8074,24.2699,24.7744,25.4171,23.4405
eps-8;G5ED33,18.7979,17.9392,20.3093,20.6005,22.3228,21.8681,21.4144,22.0872
eps-8;G5ED33,23.6389,24.2897,24.7304,24.1662,24.7362,21.1441,22.3274,22.6511
eps-8;G5ED33,18.0559,18.292,17.6013,18.6678,24.9703,23.7241,27.9301,25.1328
eps-8;G5ED33,23.4654,24.3865,23.4633,23.7047,24.5897,21.9928,23.9204,24.0392
;A0A061ACQ8,16.5056,18.38,17.1296,18.1723,25.6579,24.0864,25.428,23.6614
;A0A061ACQ8,19.7627,17.9313,17.2044,15.3776,21.5261,20.9082,20.5508,21.2494
;A0A061ACQ8,24.3708,25.2928,24.7066,24.4424,27.8981,25.671,23.7275,25.777
;A0A061ACQ8,24.3708,25.2928,24.7066,24.4424,27.8981,25.671,24.3702,25.777
T14G10.5;A0A061ACR1,24.1096,23.9908,22.2437,24.156,24.8919,24.3733,23.3201,24.3334
pezo-1;A0A061AL01,20.6948,16.971,18.084,21.1241,21.4876,20.4071,19.1027,21.2229
pezo-1;A0A061AL01,20.0754,18.2202,17.6589,16.784,22.4827,21.9031,22.7817,20.8327
;B3GWD8,16.4716,20.1434,18.0472,17.2104,21.8025,21.2305,21.2327,21.3365
;B3GWD8,17.632,19.3657,18.0831,17.2284,21.6807,20.9138,20.3555,20.8815
;B3GWD8,18.4499,19.4154,20.0343,20.7251,22.4631,23.3466,23.5005,23.4366
ard-1;A0A061AD09;Q19102,17.906,21.1345,16.4319,16.1673,21.5062,20.4952,21.0376,21.3714
lim-9;Q3S1I9,19.1311,19.4345,14.2751,18.4942,21.8584,19.6352,20.7846,20.7815
lim-9;Q3S1I9,18.8384,18.4484,18.2648,17.5428,21.5356,21.1871,20.1814,21.3339
pgp-2;G5EDF9,19.5352,19.2865,16.8267,16.7708,24.1315,22.8015,20.8969,22.766
pgp-2;G5EDF9,19.6254,17.7227,18.0937,19.1357,23.9311,24.08,23.9537,22.6179
pgp-2;G5EDF9,18.6314,18.2198,17.8122,17.6154,22.76,21.6825,23.0431,22.6419
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,17.603,18.7267,19.615,20.1055,20.8844,20.5834,20.5976,20.7259
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,17.0079,17.0877,17.5294,18.4891,25.6561,23.6395,24.8017,24.4926
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,19.5435,18.3263,15.8761,18.4172,23.5659,24.066,23.2581,25.0997
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,14.8631,19.229,19.6763,19.8968,22.3292,22.883,23.1855,23.2034
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,19.8502,19.0791,15.407,19.3083,24.4751,23.6704,22.5505,22.1758
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,24.8825,26.8821,24.532,25.1322,27.0311,23.825,23.132,25.4939
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.0096,24.039,23.7708,23.1221,24.1379,21.8971,20.4928,23.1852
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,16.5639,18.1063,20.4177,16.4886,21.1342,21.0676,21.3159,21.0689
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.0277,16.4604,19.6502,20.205,21.5296,20.7628,21.0501,20.9683
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,24.0873,26.5782,24.8889,25.4078,27.2704,24.6571,22.4098,25.6652
;A0A0K3AUF2,18.1795,16.7184,16.7635,17.5669,24.1907,23.856,26.4937,25.293
lev-11;A0A0K3ARB5;Q27249,18.875,19.2089,18.8931,21.167,20.9736,19.8905,19.8582,21.2968
lev-11;A0A0K3ARB5;Q27249,16.8625,16.3362,20.4867,17.3409,21.719,20.5158,19.1962,19.7462
lev-11;A0A0K3ARB5;Q27249,21.7176,17.9259,19.594,17.9442,21.4565,21.1337,21.3257,20.1905
egl-8;A0A0K3AS90,19.9853,19.1169,16.5842,19.7021,21.345,20.7845,20.9709,21.2185
ubxn-3;A0A0K3AWX1,18.2363,16.0893,18.828,18.8605,20.5952,21.1569,20.2451,20.6194
ubxn-3;A0A0K3AWX1,16.5286,16.7494,20.1453,17.2836,21.2589,20.7377,20.2561,20.7478
;A0A0K3AVS5,19.7771,15.4372,16.464,14.9265,23.628,24.8086,23.2801,24.7292
fln-2;A0A0K3AW96,20.2924,19.9187,19.4777,18.0573,24.5966,23.7813,23.7407,25.0312
fln-2;A0A0K3AW96,17.9081,17.6823,19.0514,19.7005,24.8421,22.4087,21.6094,21.9022
fln-2;A0A0K3AW96,24.7155,24.497,24.1469,24.3428,27.197,25.0786,22.8459,25.8439
fln-2;A0A0K3AW96,18.9353,20.0953,19.3601,19.4865,24.8787,23.1273,22.027,23.073
oac-14;A0A0K3AWB0,19.7813,20.4972,18.563,17.0901,24.3776,25.7191,24.2234,24.9402
oac-14;A0A0K3AWB0,24.101,23.3889,22.388,23.7281,21.8025,23.1578,24.0246,23.5749
;A0A0K3AWM6,23.678,22.2101,23.4154,23.2864,24.4153,23.2446,22.9447,22.798
lsy-13;A0A0K3AXE0,16.7014,15.822,17.09,19.8284,21.8107,20.6244,20.4591,21.4094
;A0A0K3AXT9,18.2074,18.5787,18.5314,16.7152,21.9272,20.2788,20.7855,21.1803
;A0A0K3AXT9,18.4025,16.9469,18.6828,19.5663,21.8816,20.9136,20.6568,20.0859
;A0A0K3AXT9,20.0542,20.9535,20.8621,19.8291,20.9535,20.1235,20.9864,21.0461
;A0A0K3AXT9,23.535,22.6793,21.5477,22.4001,19.1698,20.3715,23.7548,25.0392
;A0A0K3AY44;O44557,19.1045,16.4947,17.6107,18.1739,22.3302,23.9248,23.1523,23.879
;A0A0K3AY44;O44557,19.1986,21.4812,20.9665,18.1993,21.6842,20.5563,20.7241,21.3145
oig-6;A0A0K3AY85;Q9BPN5,25.9454,24.3814,26.0678,24.6328,25.4942,24.6612,23.7519,22.8119
oig-6;A0A0K3AY85;Q9BPN5,14.3948,18.3315,17.3173,20.3628,22.8706,23.0196,22.2356,24.266
;A0A0K3AYE8,18.3668,17.5142,20.8139,20.5446,22.4384,24.5147,24.2352,22.7816
;A0A0M7RFG7,17.2354,17.7319,21.8939,15.7625,22.1248,22.099,22.7431,21.2307
;A0A0S4XRR1,18.2786,19.8257,18.9918,19.0622,21.1807,20.4396,21.3225,21.3997
;A0A0T7CIX3,17.6419,15.7369,19.1335,17.8152,24.8942,24.1029,25.9055,24.0082
;A0A0T7CIX3,17.928,15.8865,18.2257,19.0344,21.0406,21.248,20.9348,20.3489
