geneName;Leading.proteins,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,,,
eps-8;G5ED33,26.4047,26.7502,25.6981,25.15,23.5334,23.8659,22.8091,21.4201,,,
eps-8;G5ED33,25.3984,26.2714,22.5561,25.9233,24.5767,24.9587,24.2381,24.8764,,,
eps-8;G5ED33,23.8377,23.445,23.0266,24.8074,20.7121,21.6121,21.5258,20.8901,,,
eps-8;G5ED33,18.7979,17.9392,20.3093,20.6005,22.5255,23.5415,23.281,23.7146,,,
eps-8;G5ED33,23.6389,24.2897,24.7304,24.1662,21.7742,22.8023,23.3951,21.6803,,,
eps-8;G5ED33,18.0559,18.292,17.6013,18.6678,20.3533,19.2331,21.6183,21.2415,,,
eps-8;G5ED33,23.4654,24.3865,23.4633,23.7047,20.5678,20.222,21.3859,21.0173,,,
;A0A061ACQ8,16.5056,18.38,17.1296,18.1723,23.8289,24.4935,24.4446,23.923,,,
;A0A061ACQ8,19.7627,17.9313,17.2044,15.3776,20.6905,20.6101,21.286,20.8378,,,
;A0A061ACQ8,24.3708,25.2928,24.7066,24.4424,24.3735,26.4799,26.1909,25.0773,,,
;A0A061ACQ8,24.3708,25.2928,24.7066,24.4424,25.8144,26.1828,26.1909,25.0773,,,
T14G10.5;A0A061ACR1,24.1096,23.9908,22.2437,24.156,24.4604,23.8085,23.8101,22.391,,,
pezo-1;A0A061AL01,20.6948,16.971,18.084,21.1241,20.9122,20.5604,20.0432,21.2337,,,
pezo-1;A0A061AL01,20.0754,18.2202,17.6589,16.784,20.052,21.7668,21.7559,22.3719,,,
;B3GWD8,16.4716,20.1434,18.0472,17.2104,20.4407,21.4264,21.4755,19.5985,,,
;B3GWD8,17.632,19.3657,18.0831,17.2284,20.2055,21.2947,21.4317,18.8279,,,
;B3GWD8,18.4499,19.4154,20.0343,20.7251,23.8394,23.8007,23.6418,23.2697,,,
ard-1;A0A061AD09;Q19102,17.906,21.1345,16.4319,16.1673,20.7379,21.5393,21.4388,20.9034,,,
lim-9;Q3S1I9,19.1311,19.4345,14.2751,18.4942,21.0449,20.8853,21.1509,20.5674,,,
lim-9;Q3S1I9,18.8384,18.4484,18.2648,17.5428,20.9667,20.5865,20.3952,19.8745,,,
pgp-2;G5EDF9,19.5352,19.2865,16.8267,16.7708,21.4791,23.2069,23.4336,22.9113,,,
pgp-2;G5EDF9,19.6254,17.7227,18.0937,19.1357,20.0777,22.5115,23.8453,23.1834,,,
pgp-2;G5EDF9,18.6314,18.2198,17.8122,17.6154,22.0813,23.3163,22.4226,22.3875,,,
lev-11;A0A0K3AQS9,17.603,18.7267,19.615,20.1055,20.9403,21.7553,21.5142,19.7951,,,
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,17.0079,17.0877,17.5294,18.4891,21.7373,23.0522,23.4179,21.6485,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,19.5435,18.3263,15.8761,18.4172,23.6735,24.7184,25.6456,24.6859,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,14.8631,19.229,19.6763,19.8968,20.1117,21.2592,21.6426,21.1536,,,
