geneName;Leading.proteins,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
eps-8;G5ED33,21.7283,19.1263,16.9484,19.5784,23.8555,23.2074,23.9511,24.3365
eps-8;G5ED33,21.0619,19.4139,18.8798,20.6509,21.9286,21.3864,20.4347,21.5976
eps-8;G5ED33,19.8681,19.7115,19.4418,20.2652,23.4835,24.2371,23.8393,24.4495
eps-8;G5ED33,17.3168,17.2941,18.3084,18.8222,22.9099,24.0892,24.2362,23.2418
eps-8;G5ED33,14.24,16.2222,17.0743,15.9533,21.8965,20.3186,22.5549,23.1651
eps-8;G5ED33,18.8236,17.8722,17.8891,18.4586,21.1765,21.0658,21.4885,21.6995
eps-8;G5ED33,19.8229,19.5347,18.5868,16.4206,20.9889,21.6704,22.3464,22.0644
;A0A061ACQ8,19.1515,20.881,18.7091,17.8859,23.9196,24.8655,24.899,26.1364
;A0A061ACQ8,23.1079,22.2062,23.2476,22.728,21.5992,20.809,20.9413,21.1447
;A0A061ACQ8,25.3163,25.7199,25.3947,26.0253,27.2762,26.8353,26.7459,27.5041
;A0A061ACQ8,25.3163,26.0487,25.3947,26.0253,27.2762,26.8353,26.7459,27.5041
T14G10.5;A0A061ACR1,24.594,23.8529,24.1401,23.1285,24.8872,25.1844,24.1479,24.599
pezo-1;A0A061AL01,17.9959,17.1447,20.6863,19.1526,21.2511,21.1867,18.9654,20.3907
pezo-1;A0A061AL01,18.4219,19.8675,17.9276,17.6966,23.1739,22.0387,21.808,22.5403
;B3GWD8,19.3549,20.1873,15.7297,19.4834,21.5379,19.9172,21.2065,19.3403
;B3GWD8,18.6804,19.5573,17.7639,17.7995,21.8973,21.7259,21.2138,21.8058
;B3GWD8,17.9553,19.3841,18.7385,18.1227,21.6392,21.0082,21.3492,20.8212
ard-1;A0A061AD09;Q19102,19.9716,20.2658,20.3397,16.2634,21.3986,21.2608,21.4654,21.2513
lim-9;Q3S1I9,21.5334,18.8672,17.4174,20.5942,21.2028,21.0694,20.5769,21.3834
lim-9;Q3S1I9,20.6548,18.3746,18.1842,19.5638,21.6606,21.3918,20.915,21.4468
pgp-2;G5EDF9,20.7985,18.0818,17.7649,18.1729,22.3729,22.3957,21.4728,22.4389
pgp-2;G5EDF9,16.7509,19.2432,19.3601,18.186,22.3368,21.5555,21.7559,21.8566
pgp-2;G5EDF9,20.5993,20.0415,18.5054,19.6412,21.2489,20.283,21.2956,19.8853
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,19.186,17.8454,17.7487,18.7668,21.9577,20.3436,19.9513,21.6882
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,18.1117,19.4842,18.0639,21.5604,23.824,24.2237,24.7437,25.3436
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,17.5341,20.0035,17.4432,17.5559,25.9499,27.0139,26.7184,26.2778
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,16.8838,16.3927,18.4173,20.3876,23.6729,23.1417,24.9478,24.9932
