geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
"CELE_Y62E10A,13",12.8718,13.6241,13.1723,14.121,10.7246,12.8939,13.1994,12.3652
cars-1,16.4016,16.744,16.2184,16.5853,16.0288,16.0264,15.5569,15.6059
eps-8,12.9619,13.2749,12.9819,12.3774,14.1342,12.9341,13.6492,13.7203
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.4503,17.6303,17.2228,17.2181,17.5171,16.5847,16.6106,16.7523
pezo-1,15.0058,14.2792,16.2589,16.4128,13.722,14.2385,14.3964,14.2946
twk-9,18.3046,18.1349,16.8766,16.5732,17.6586,18.4575,18.3246,17.916
epi-1,17.7883,18.0182,17.4658,17.6494,17.6514,17.3559,17.1822,17.7655
kdin-1,13.0264,13.2506,12.4163,12.606,13.4012,12.9817,14.2163,13.4658
tag-273,17.8664,18.2805,17.7839,17.9963,16.9615,16.9142,16.9885,17.2432
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.3398,13.2656,12.9281,12.8877,12.5762,12.6283,12.41,12.2389
pps-1,13.0455,12.9821,12.6379,12.2496,14.3474,14.1023,14.6768,15.287
cka-1,12.4489,13.0109,13.5044,12.5409,13.4878,14.1536,13.55,13.8556
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.9123,15.6116,14.2647,14.2652,13.343,14.7779,12.7744,13.8059
spp-18,18.1612,19.2322,18.6168,17.7392,15.0469,15.1157,15.7014,16.2875
lin-66,13.9607,13.9884,14.4919,13.7276,14.0077,13.7704,14.3544,14.8973
"CELE_F09E10,7",15.7667,14.3877,14.8697,13.2229,13.6093,13.9933,14.1876,13.6874
"CELE_F10C1,9",12.8939,13.335,13.0136,12.5557,13.9452,13.0582,13.5171,14.1013
itx-1,15.4011,15.9398,15.4638,14.944,15.0756,14.6052,14.7545,15.1934
"CELE_Y41E3,7",13.6666,14.2938,14.4558,14.5345,14.5143,14.874,15.3494,14.2494
"CELE_Y105C5B,15",15.3516,15.3146,15.5079,14.7261,14.7875,14.7886,14.8223,15.2597
lim-9,15.5677,15.4778,15.6519,15.6344,14.2439,14.2245,14.3268,14.9832
"CELE_Y105E8A,25",15.2256,15.7982,14.7094,14.1762,12.7547,13.4247,12.9829,13.2754
pgp-2,15.1878,15.1079,14.3195,15.1138,14.4009,14.1815,13.6723,14.6201
lpd-3,15.7376,15.4629,15.8295,17.9221,15.4549,16.4514,16.337,16.0881
tln-1,14.0896,14.3584,15.1304,15.6357,14.1918,13.9737,14.107,14.251
max-2,14.939,15.944,15.3661,15.3956,15.5204,14.5985,13.4376,14.1562
egl-27,13.0035,12.9126,12.9519,12.2116,12.576,13.1572,13.132,12.9809
cdc-14,13.1162,13.1696,12.9349,12.4668,11.472,11.1757,11.0624,11.6847
daf-16,15.5029,16.118,14.7924,15.0596,14.585,14.0713,13.2523,14.1532
"CELE_T16H12,3;T16H12,3",12.8176,13.243,13.0141,12.2105,11.412,11.2337,10.9874,11.7267
lev-11,18.1945,18.2566,17.6161,18.0451,15.1948,14.4688,14.6904,15.4279
gld-2,13.108,13.3404,12.8983,13.0307,11.3677,11.1951,11.1271,11.6101
ncl-1,13.1233,13.2828,12.9295,12.354,14.5409,15.7414,14.0072,14.7912
"CELE_D1069,3",12.8579,14.5717,13.6722,13.2409,13.2709,14.0571,14.3065,13.1438
lin-23,12.9811,13.007,12.8844,12.5119,13.3327,12.299,12.7186,13.5858
"CELE_Y50D4B,1",12.6791,13.1274,12.9582,13.0105,11.4711,11.1696,10.8206,11.7053
"CELE_Y39A1A,21",12.6679,13.1328,12.9236,12.858,11.4521,11.2233,11.1725,11.7425
dre-1,15.9558,16.6216,16.771,16.8865,17.0121,16.1905,15.7812,16.2351
