ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
A0A061ACH4;11,3945;11,8454;12,0607;12,7939;14,218;14,1148;11,1635;15,0079;0,909591;0,0385566;-1,60246;-1,79298;+
A0A061ACL3;17,0012;16,427;16,4786;16,2597;17,4415;17,1778;17,8791;18,122;2,23803;0,00110375;-1,11347;-4,18511;+
A0A061ACM2;14,7489;13,651;14,3442;14,5962;14,4686;13,7126;14,1819;14,8971;0,0195456;0,920451;0,0200016;0,0575285;
A0A061ACR1;17,1779;16,7638;16,9089;17,28;17,6362;17,6537;17,2508;18,0665;1,63332;0,00498046;-0,619127;-3,02444;+
A0A061ACU2;15,1979;15,0917;15,0032;16,7631;17,6704;17,5944;18,1401;17,7233;2,69771;0,000349751;-2,26808;-5,20463;+
A0A061AD18;15,0646;14,0276;15,4946;15,6371;14,4523;14,1682;14,2584;14,486;0,987825;0,0305035;0,714729;1,92296;+
A0A061AD21;17,454;17,4416;17,0252;17,381;19,3472;19,2119;19,0184;19,2306;5,31887;0;-1,87662;-15,3671;+
A0A061AD39;13,6171;14,009;13,8207;13,7303;14,0607;13,8599;14,3869;14,7034;1,18916;0,0175865;-0,45844;-2,25839;+
A0A061AD47;16,2946;16,0933;16,3976;16,5315;17,9037;18,1408;18,2388;18,4179;4,90277;0;-1,84603;-13,0444;+
A0A061ADY8;11,832;12,6645;13,1658;12,7295;14,2514;13,6343;14,3166;14,7568;2,40431;0,000726758;-1,64185;-4,53796;+
A0A061AE05;15,271;14,9418;15,2142;15,653;16,9277;16,9882;16,7831;17,9848;3,05586;5,98E-05;-1,90097;-6,10648;+
A0A061AIW1;13,0951;14,5308;14,0703;13,9988;14,8416;15,4305;16,2572;17,6152;1,69953;0,00426775;-2,1124;-3,14369;+
A0A061AJK8;13,3137;12,9601;13,441;14,0119;14,2815;14,3868;14,4725;14,9605;2,20843;0,00120764;-1,09365;-4,12402;+
A0A061AKY5;16,8055;17,5007;17,378;16,5791;14,277;14,1225;13,6839;15,0089;3,65893;0;2,79274;7,89245;+
A0A061AL58;12,317;12,1892;12,2635;12,7647;14,25;14,441;14,4749;14,5368;5,1199;0;-2,04208;-14,2114;+
A0A078BPG0;15,7195;13,3313;13,1655;13,5176;14,2173;14,1746;14,1429;14,8907;0,280423;0,291114;-0,422928;-0,675883;
A0A078BPH9;13,0658;12,3597;12,7821;11,6115;14,1701;14,1251;14,3814;15,0562;2,68411;0,000347444;-1,97844;-5,17237;+
