Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
G5ED33,23.8555,23.2074,23.9511,24.3365,24.8468,23.9004,24.6549,23.9741,17.5327,19.8041,20.9319,19.6009,16.7072,19.1966,20.1808,17.7618
G5ED33,21.9286,21.3864,20.4347,21.5976,22.9767,21.3006,23.4415,24.2209,17.1798,18.6986,21.2561,21.0882,21.3231,20.8525,18.3048,21.9144
G5ED33,23.4835,24.2371,23.8393,24.4495,24.2699,24.7744,25.4171,23.4405,20.7311,21.7289,19.4175,17.9633,21.2258,21.3047,21.0456,20.6389
G5ED33,22.9099,24.0892,24.2362,23.2418,22.3228,21.8681,21.4144,22.0872,25.4427,25.1152,25.5114,24.5829,20.7482,20.7905,20.7217,19.259
G5ED33,21.8965,20.3186,22.5549,23.1651,24.7362,21.1441,22.3274,22.6511,23.8439,24.3591,25.0551,24.8455,20.492,19.8716,20.3491,18.6497
G5ED33,21.1765,21.0658,21.4885,21.6995,24.9703,23.7241,27.9301,25.1328,18.8139,19.5756,21.0625,19.1871,20.7914,18.9471,21.5243,21.0692
G5ED33,20.9889,21.6704,22.3464,22.0644,24.5897,21.9928,23.9204,24.0392,19.1268,19.4666,19.463,19.8508,20.4227,18.3571,19.618,21.6177
A0A061ACQ8,23.9196,24.8655,24.899,26.1364,25.6579,24.0864,25.428,23.6614,25.1179,25.6788,25.3254,25.0607,25.1233,24.8938,25.9115,24.5449
A0A061ACQ8,21.5992,20.809,20.9413,21.1447,21.5261,20.9082,20.5508,21.2494,19.3402,20.135,17.2983,16.8941,19.9121,20.2161,19.0178,19.4925
A0A061ACQ8,27.2762,26.8353,26.7459,27.5041,27.8981,25.671,23.7275,25.777,18.8628,20.9229,20.6477,21.4521,25.1325,25.2518,24.1717,25.8192
A0A061ACQ8,27.2762,26.8353,26.7459,27.5041,27.8981,25.671,24.3702,25.777,19.9375,18.9843,21.5938,19.9823,25.1325,25.2518,24.1717,22.853
A0A061ACR1,24.8872,25.1844,24.1479,24.599,24.8919,24.3733,23.3201,24.3334,19.7171,19.1901,19.1267,19.7952,24.3332,24.2495,23.1299,24.264
A0A061AL01,21.2511,21.1867,18.9654,20.3907,21.4876,20.4071,19.1027,21.2229,16.1122,19.4221,20.4245,20.9586,20.5116,21.8091,20.3211,19.6159
