Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
G5ED33,17.5327,19.8041,20.9319,19.6009,24.8468,23.9004,24.6549,23.9741
G5ED33,17.1798,18.6986,21.2561,21.0882,22.9767,21.3006,23.4415,24.2209
G5ED33,20.7311,21.7289,19.4175,17.9633,24.2699,24.7744,25.4171,23.4405
G5ED33,25.4427,25.1152,25.5114,24.5829,22.3228,21.8681,21.4144,22.0872
G5ED33,23.8439,24.3591,25.0551,24.8455,24.7362,21.1441,22.3274,22.6511
G5ED33,18.8139,19.5756,21.0625,19.1871,24.9703,23.7241,27.9301,25.1328
G5ED33,19.1268,19.4666,19.463,19.8508,24.5897,21.9928,23.9204,24.0392
A0A061ACQ8,25.1179,25.6788,25.3254,25.0607,25.6579,24.0864,25.428,23.6614
A0A061ACQ8,19.3402,20.135,17.2983,16.8941,21.5261,20.9082,20.5508,21.2494
A0A061ACQ8,18.8628,20.9229,20.6477,21.4521,27.8981,25.671,23.7275,25.777
A0A061ACQ8,19.9375,18.9843,21.5938,19.9823,27.8981,25.671,24.3702,25.777
A0A061ACR1,19.7171,19.1901,19.1267,19.7952,24.8919,24.3733,23.3201,24.3334
A0A061AL01,16.1122,19.4221,20.4245,20.9586,21.4876,20.4071,19.1027,21.2229
A0A061AL01,21.007,19.7355,20.3847,19.7913,22.4827,21.9031,22.7817,20.8327
B3GWD8,22.6992,22.7306,24.1893,21.0493,21.8025,21.2305,21.2327,21.3365
B3GWD8,20.5715,19.9464,17.1615,21.2368,21.6807,20.9138,20.3555,20.8815
B3GWD8,20.3282,21.7727,19.1176,21.5312,22.4631,23.3466,23.5005,23.4366
A0A061AD09,19.9764,18.4282,19.5034,18.9757,21.5062,20.4952,21.0376,21.3714
Q3S1I9,19.0928,17.2822,19.4194,21.3455,21.8584,19.6352,20.7846,20.7815
Q3S1I9,19.6106,20.3,20.035,19.4295,21.5356,21.1871,20.1814,21.3339
G5EDF9,18.7199,20.445,17.3022,18.8472,24.1315,22.8015,20.8969,22.766
G5EDF9,16.3937,20.4237,20.9377,18.8993,23.9311,24.08,23.9537,22.6179
G5EDF9,18.7538,18.7701,18.7407,19.0366,22.76,21.6825,23.0431,22.6419
A0A0K3AQS9,21.4698,20.5738,19.1009,21.3845,20.8844,20.5834,20.5976,20.7259
A0A0K3AQS9,20.2377,19.7373,18.5143,17.9382,25.6561,23.6395,24.8017,24.4926
A0A0K3AQS9,26.045,25.6702,27.109,26.0397,23.5659,24.066,23.2581,25.0997
A0A0K3AQS9,17.2868,18.7173,21.439,20.6722,22.3292,22.883,23.1855,23.2034
A0A0K3AQS9,19.6958,21.2905,19.8868,17.9633,24.4751,23.6704,22.5505,22.1758
A0A0K3AQS9,26.1909,26.0301,26.2682,25.1585,27.0311,23.825,23.132,25.4939
A0A0K3AQS9,20.8913,17.5493,19.4176,17.826,24.1379,21.8971,20.4928,23.1852
A0A0K3AQT4,26.014,26.2594,25.0266,26.2841,21.1342,21.0676,21.3159,21.0689
A0A0K3AQT4,18.993,19.9835,19.3398,18.5383,21.5296,20.7628,21.0501,20.9683
A0A0K3AQT4,20.9316,22.1213,22.664,22.536,27.2704,24.6571,22.4098,25.6652
A0A0K3AUF2,23.1616,21.0025,23.9234,22.1368,24.1907,23.856,26.4937,25.293
A0A0K3ARB5,16.6725,18.9985,20.2566,18.3358,20.9736,19.8905,19.8582,21.2968
A0A0K3ARB5,20.1902,19.864,20.7307,20.6126,21.719,20.5158,19.1962,19.7462
A0A0K3ARB5,19.3227,18.3609,20.7834,19.0101,21.4565,21.1337,21.3257,20.1905
A0A0K3AS90,19.4441,19.905,20.9288,17.4719,21.345,20.7845,20.9709,21.2185
A0A0K3AWX1,22.1038,22.4952,21.6995,23.0648,20.5952,21.1569,20.2451,20.6194
A0A0K3AWX1,17.8536,18.3688,20.5987,16.6337,21.2589,20.7377,20.2561,20.7478
