Leading.proteins.Positions.within.proteins;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value daf2_d1_N2_d1;Student's T-test q-value  daf2_d1_N2_d1; Student's T-test Difference  daf2_d1_N2_d1;Student's T-test Test statistic  daf2_d1_N2_d1;Sign p-val: 0.05 
G5ED33(542);26,4047;26,7502;25,6981;25,15;24,8468;23,9004;24,6549;23,9741;2,07207;0,000724963;1,65669;3,84888;+
G5ED33(562);25,3984;26,2714;22,5561;25,9233;22,9767;21,3006;23,4415;24,2209;1,00969;0,0129114;2,05238;1,95928;+
G5ED33(621);23,8377;23,445;23,0266;24,8074;24,2699;24,7744;25,4171;23,4405;0,578814;0,0593528;-0,696303;-1,23284;
G5ED33(524);18,7979;17,9392;20,3093;20,6005;22,3228;21,8681;21,4144;22,0872;2,05262;0,000741171;-2,51136;-3,81046;+
G5ED33(755);23,6389;24,2897;24,7304;24,1662;24,7362;21,1441;22,3274;22,6511;0,980457;0,0141378;1,49156;1,91072;+
G5ED33(537);18,0559;18,292;17,6013;18,6678;24,9703;23,7241;27,9301;25,1328;3,67862;0;-7,28508;-7,95731;+
G5ED33(583);23,4654;24,3865;23,4633;23,7047;24,5897;21,9928;23,9204;24,0392;0,0703279;0,702648;0,119473;0,19678;
A0A061ACQ8(315);16,5056;18,38;17,1296;18,1723;25,6579;24,0864;25,428;23,6614;4,43569;0;-7,1616;-10,8313;+
A0A061ACQ8(294);19,7627;17,9313;17,2044;15,3776;21,5261;20,9082;20,5508;21,2494;2,01975;0,000781324;-3,4896;-3,74593;+
A0A061ACQ8(133);24,3708;25,2928;24,7066;24,4424;27,8981;25,671;23,7275;25,777;0,568166;0,0618157;-1,06525;-1,21419;
A0A061ACQ8(135);24,3708;25,2928;24,7066;24,4424;27,8981;25,671;24,3702;25,777;0,802316;0,0260771;-1,22594;-1,61404;+
A0A061ACR1(589);24,1096;23,9908;22,2437;24,156;24,8919;24,3733;23,3201;24,3334;0,485245;0,087795;-0,60464;-1,06665;
A0A061AL01(989);20,6948;16,971;18,084;21,1241;21,4876;20,4071;19,1027;21,2229;0,54445;0,0676142;-1,33659;-1,17243;
