Leading.proteins.Positions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value daf2_d10_N2_d10;Student's T-test q-value  daf2_d10_N2_d10; Student's T-test Difference  daf2_d10_N2_d10;Student's T-test Test statistic  daf2_d10_N2_d10;Sign p-val: 0.05 
G5ED33(542);23,4587;24,0664;23,1137;25,0985;17,5327;19,8041;20,9319;19,6009;2,76812;0,00462613;4,46694;5,37383;+
G5ED33(562);25,0749;25,3106;24,0962;24,1866;17,1798;18,6986;21,2561;21,0882;2,592;0,00669942;5,11137;4,95752;+
G5ED33(621);20,0707;21,7295;21,2479;20,9707;20,7311;21,7289;19,4175;17,9633;0,546591;0,310474;1,04449;1,17621;
G5ED33(524);20,4936;20,3288;19,9947;21,4875;25,4427;25,1152;25,5114;24,5829;4,67689;0,00045614;-4,5869;-11,9265;+
G5ED33(755);24,1916;24,2188;25,0236;23,9262;23,8439;24,3591;25,0551;24,8455;0,205108;0,591568;-0,185867;-0,517113;
G5ED33(537);23,3225;23,5801;24,0032;24,7963;18,8139;19,5756;21,0625;19,1871;3,45422;0,00108489;4,26576;7,24418;+
G5ED33(583);18,4543;16,9512;18,7781;19,1706;19,1268;19,4666;19,463;19,8508;1,18081;0,0933569;-1,13822;-2,2444;
A0A061ACQ8(315);18,8745;19,1804;17,66;18,8705;25,1179;25,6788;25,3254;25,0607;5,75713;0;-6,64939;-18,2393;+
A0A061ACQ8(294);24,7423;22,5354;21,8131;23,5553;19,3402;20,135;17,2983;16,8941;2,47719;0,00895875;4,74461;4,69807;+
A0A061ACQ8(133);24,9853;24,6852;26,1816;25,3441;18,8628;20,9229;20,6477;21,4521;3,52042;0,00114912;4,82764;7,4488;+
A0A061ACQ8(135);24,9853;24,6852;26,1816;25,3441;19,9375;18,9843;21,5938;19,9823;3,75322;0,000778667;5,17455;8,2071;+
A0A061ACR1(589);24,3086;23,4591;25,2728;23,3645;19,7171;19,1901;19,1267;19,7952;4,16969;0,000467532;4,64397;9,73084;+
A0A061AL01(989);20,9844;19,2787;19,0681;18,4461;16,1122;19,4221;20,4245;20,9586;0,0627928;0,838772;0,214946;0,176936;
A0A061AL01(593);20,9798;18,8131;21,2636;20,025;21,007;19,7355;20,3847;19,7913;0,0221051;0,94097;0,040771;0,0648832;
B3GWD8(179);20,8685;19,6437;20,537;19,1416;22,6992;22,7306;24,1893;21,0493;1,87617;0,0241674;-2,61941;-3,47027;+
B3GWD8(187);19,715;20,1627;19,7253;17,7271;20,5715;19,9464;17,1615;21,2368;0,14369;0,679061;-0,396499;-0,378193;
B3GWD8(196);20,1273;18,8333;20,6156;20,7385;20,3282;21,7727;19,1176;21,5312;0,34844;0,446629;-0,608767;-0,811077;
A0A061AD09(37);21,1623;16,0536;21,1649;18,807;19,9764;18,4282;19,5034;18,9757;0,0205091;0,944655;0,0760121;0,0603016;
Q3S1I9(88);19,9088;20,3734;19,7662;18,8902;19,0928;17,2822;19,4194;21,3455;0,20019;0,596698;0,449676;0,506338;
Q3S1I9(240);23,2732;23,2923;23,206;21,6354;19,6106;20,3;20,035;19,4295;3,25657;0,00200354;3,00796;6,66046;+
G5EDF9(7);21,0697;18,4201;20,6069;17,6945;18,7199;20,445;17,3022;18,8472;0,240734;0,54945;0,619228;0,593586;
G5EDF9(13);24,0194;23,5051;25,0464;23,7446;16,3937;20,4237;20,9377;18,8993;2,42081;0,0100109;4,91527;4,57391;+
G5EDF9(521);19,8937;21,4847;18,8163;19,8148;18,7538;18,7701;18,7407;19,0366;1,1043;0,10736;1,17705;2,11662;
A0A0K3AQS9(98);19,4027;19,4408;20,1587;19,7694;21,4698;20,5738;19,1009;21,3845;0,811761;0,187733;-0,939391;-1,62985;
A0A0K3AQS9(58);20,1824;19,2693;18,8405;21,6328;20,2377;19,7373;18,5143;17,9382;0,488715;0,343938;0,874359;1,07292;
A0A0K3AQS9(173);25,424;24,6988;25,6331;23,7506;26,045;25,6702;27,109;26,0397;1,35788;0,0660379;-1,33937;-2,54365;
A0A0K3AQS9(21);17,4171;19,0049;20,6998;19,9796;17,2868;18,7173;21,439;20,6722;0,0772946;0,806449;-0,253463;-0,214903;
A0A0K3AQS9(160);19,9414;19,855;20,4838;20,5562;19,6958;21,2905;19,8868;17,9633;0,29661;0,496611;0,500005;0,708674;
A0A0K3AQS9(122);25,5681;25,0337;23,642;24,8307;26,1909;26,0301;26,2682;25,1585;1,26154;0,0789636;-1,14331;-2,38011;
A0A0K3AQS9(114);23,3335;23,0578;24,5329;24,0537;20,8913;17,5493;19,4176;17,826;2,90299;0,00380899;4,8234;5,70871;+
A0A0K3AQT4(28);19,1955;20,4821;19,6382;21,0684;26,014;26,2594;25,0266;26,2841;4,5391;0,000356164;-5,8;-11,289;+
A0A0K3AQT4(76);19,8817;19,6654;19,6218;21,3297;18,993;19,9835;19,3398;18,5383;0,911275;0,155229;0,910994;1,79579;
A0A0K3AQT4(15);24,2532;22,7206;24,6827;28,7903;20,9316;22,1213;22,664;22,536;1,18382;0,092567;3,04845;2,24945;
