Leading.proteins.Positions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 daf2_d5_01;log2 daf2_d5_02;log2 daf2_d5_03;log2 daf2_d5_04; -Log Student's T-test p-value daf2_d10_daf2_d5;Student's T-test q-value daf2_d10_daf2_d5; Student's T-test Difference daf2_d10_daf2_d5;Student's T-test Test statistic daf2_d10_daf2_d5;Sign p-val: 0.05 
G5ED33(542);23,4587;24,0664;23,1137;25,0985;21,7283;19,1263;16,9484;19,5784;2,28328;0,0149356;4,58899;4,27948;+
G5ED33(562);25,0749;25,3106;24,0962;24,1866;21,0619;19,4139;18,8798;20,6509;3,63241;0,00145763;4,66546;7,80583;+
G5ED33(621);20,0707;21,7295;21,2479;20,9707;19,8681;19,7115;19,4418;20,2652;1,6439;0,0444584;1,18304;3,04339;+
G5ED33(524);20,4936;20,3288;19,9947;21,4875;17,3168;17,2941;18,3084;18,8222;2,74615;0,00611454;2,64079;5,32061;+
G5ED33(755);24,1916;24,2188;25,0236;23,9262;14,24;16,2222;17,0743;15,9533;4,93901;0;8,46757;13,2327;+
G5ED33(537);23,3225;23,5801;24,0032;24,7963;18,8236;17,8722;17,8891;18,4586;5,12944;0;5,66468;14,2649;+
G5ED33(583);18,4543;16,9512;18,7781;19,1706;19,8229;19,5347;18,5868;16,4206;0,10203;0,78184;-0,252695;-0,277617;
A0A061ACQ8(315);18,8745;19,1804;17,66;18,8705;19,1515;20,881;18,7091;17,8859;0,298855;0,496124;-0,510525;-0,713192;
A0A061ACQ8(294);24,7423;22,5354;21,8131;23,5553;23,1079;22,2062;23,2476;22,728;0,197374;0,616405;0,339067;0,500145;
A0A061ACQ8(133);24,9853;24,6852;26,1816;25,3441;25,3163;25,7199;25,3947;26,0253;0,379095;0,421775;-0,315029;-0,870007;
A0A061ACQ8(135);24,9853;24,6852;26,1816;25,3441;25,3163;26,0487;25,3947;26,0253;0,474939;0,352863;-0,397233;-1,04799;
A0A061ACR1(589);24,3086;23,4591;25,2728;23,3645;24,594;23,8529;24,1401;23,1285;0,118868;0,750821;0,172368;0,318976;
A0A061AL01(989);20,9844;19,2787;19,0681;18,4461;17,9959;17,1447;20,6863;19,1526;0,314492;0,483213;0,699456;0,744433;
A0A061AL01(593);20,9798;18,8131;21,2636;20,025;18,4219;19,8675;17,9276;17,6966;1,29156;0,0823979;1,79196;2,43087;
B3GWD8(179);20,8685;19,6437;20,537;19,1416;19,3549;20,1873;15,7297;19,4834;0,593944;0,284575;1,35886;1,25924;
