Leading.proteinsPositions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value daf2_d10_eat2_d10;Student's T-test q-value  daf2_d10_eat2_d10; Student's T-test Difference  daf2_d10_eat2_d10;Student's T-test Test statistic  daf2_d10_eat2_d10;Sign p-val: 0.05 
G5ED33(542);23,4587;24,0664;23,1137;25,0985;22,0793;23,3671;23,3845;23,2758;0,845657;0,0814745;0,907667;1,6865;
G5ED33(562);25,0749;25,3106;24,0962;24,1866;21,8502;20,328;21,6943;20,7008;3,47034;0,000687831;3,52374;7,29358;+
G5ED33(621);20,0707;21,7295;21,2479;20,9707;24,5216;22,7272;24,7716;25,6816;2,53081;0,00229988;-3,42082;-4,81812;+
G5ED33(524);20,4936;20,3288;19,9947;21,4875;23,9434;24,9522;23,8299;25,4669;3,62525;0,000664577;-3,97196;-7,7826;+
G5ED33(755);24,1916;24,2188;25,0236;23,9262;25,2289;25,084;24,6537;24,4369;0,854219;0,0798771;-0,510868;-1,70078;
G5ED33(537);23,3225;23,5801;24,0032;24,7963;20,9934;20,1383;20,565;21,4765;3,45852;0,000804178;3,13223;7,25734;+
G5ED33(583);18,4543;16,9512;18,7781;19,1706;26,3567;25,103;25,1873;26,2083;4,80902;0;-7,37524;-12,569;+
A0A061ACQ8(315);18,8745;19,1804;17,66;18,8705;25,6572;25,2059;25,6378;24,9202;5,66613;0;-6,70893;-17,6033;+
A0A061ACQ8(294);24,7423;22,5354;21,8131;23,5553;20,9167;20,157;21,6092;20,6234;1,7899;0,00993225;2,33496;3,30916;+
A0A061ACQ8(133);24,9853;24,6852;26,1816;25,3441;24,8245;24,1733;25,3429;22,6609;0,779716;0,0957694;1,04862;1,57613;
A0A061ACQ8(135);24,9853;24,6852;26,1816;25,3441;24,8245;24,1733;25,3429;22,9507;0,795361;0,0928438;0,976196;1,60238;
A0A061ACR1(589);24,3086;23,4591;25,2728;23,3645;20,6108;20,9844;20,9991;20,4449;3,43276;0,000785714;3,34144;7,17887;+
A0A061AL01(989);20,9844;19,2787;19,0681;18,4461;21,2686;20,8189;21,433;19,8521;1,12825;0,0401611;-1,39883;-2,15655;+
A0A061AL01(593);20,9798;18,8131;21,2636;20,025;24,2228;22,9565;24,0277;26,6275;2,33997;0,00379592;-4,18824;-4,39943;+
B3GWD8(179);20,8685;19,6437;20,537;19,1416;24,5006;24,5776;25,4118;24,2319;4,18967;0,000724832;-4,63278;-9,80982;+
B3GWD8(187);19,715;20,1627;19,7253;17,7271;21,5394;18,8297;21,306;21,0766;0,812965;0,0887937;-1,35538;-1,63187;
B3GWD8(196);20,1273;18,8333;20,6156;20,7385;24,0581;22,4732;23,4203;22,4659;2,68784;0,00197333;-3,02571;-5,18122;+
A0A061AD09(37);21,1623;16,0536;21,1649;18,807;20,9959;21,2959;20,9351;20,4192;0,625356;0,144904;-1,61456;-1,31369;
Q3S1I9(88);19,9088;20,3734;19,7662;18,8902;21,7362;19,9293;20,4636;20,918;1,08619;0,0449393;-1,02716;-2,08646;+
Q3S1I9(240);23,2732;23,2923;23,206;21,6354;19,4551;21,3654;21,0041;20,6358;2,07567;0,00574805;2,2366;3,85602;+
G5EDF9(7);21,0697;18,4201;20,6069;17,6945;24,4874;23,6056;24,1998;22,1189;2,27145;0,00438039;-4,15514;-4,25468;+
G5EDF9(13);24,0194;23,5051;25,0464;23,7446;23,8183;24,5224;25,1071;24,2737;0,349106;0,313828;-0,351477;-0,81237;
G5EDF9(521);19,8937;21,4847;18,8163;19,8148;24,7171;24,3861;24,6156;30,1377;2,1374;0,00530922;-5,96179;-3,97945;+
A0A0K3AQS9(98);19,4027;19,4408;20,1587;19,7694;19,9041;21,0368;21,7105;20,1931;1,20154;0,0345158;-1,01825;-2,27916;+
A0A0K3AQS9(58);20,1824;19,2693;18,8405;21,6328;21,2787;19,3966;21,8517;20,4801;0,41904;0,254693;-0,770534;-0,945235;
A0A0K3AQS9(173);25,424;24,6988;25,6331;23,7506;24,4696;24,5794;24,3204;24,1408;0,52896;0,186311;0,499078;1,14498;
A0A0K3AQS9(21);17,4171;19,0049;20,6998;19,9796;23,444;22,7677;22,8373;25,1639;2,49462;0,00252244;-4,27787;-4,7369;+
A0A0K3AQS9(160);19,9414;19,855;20,4838;20,5562;22,7873;23,9749;22,365;25,2145;2,6398;0,00213402;-3,37631;-5,06827;+
A0A0K3AQS9(122);25,5681;25,0337;23,642;24,8307;25,921;25,2815;25,9784;23,305;0,185084;0,527318;-0,35286;-0,472889;
A0A0K3AQS9(114);23,3335;23,0578;24,5329;24,0537;25,0553;22,8239;24,059;26,5787;0,462843;0,224736;-0,884757;-1,02598;
A0A0K3AQT4(28);19,1955;20,4821;19,6382;21,0684;21,0878;20,6431;20,3204;21,1876;0,753779;0,103685;-0,713675;-1,5325;
A0A0K3AQT4(76);19,8817;19,6654;19,6218;21,3297;21,9138;20,6437;20,2026;20,6163;0,622842;0,145738;-0,719439;-1,30935;
A0A0K3AQT4(15);24,2532;22,7206;24,6827;28,7903;23,873;24,693;25,5681;25,6736;0,0407161;0,874071;0,159807;0,117224;
A0A0K3AUF2(802);20,567;18,2231;20,1867;19,3315;21,7543;20,569;21,1147;23,53;1,40079;0,0226184;-2,16492;-2,61713;+
