Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04; -Log Student's T-test p-value daf2_d15_eat2_d15;Student's T-test q-value  daf2_d15_eat2_d15; Student's T-test Difference  daf2_d15_eat2_d15;Student's T-test Test statistic  daf2_d15_eat2_d15;Sign p-val: 0.05 
G5ED33(542);24,7874;25,02;24,5148;23,6856;21,5417;20,6052;21,8186;21,6586;3,61816;0,000542005;3,09592;7,75961;+
G5ED33(562);23,5194;24,1715;23,8636;24,1473;22,0936;20,9693;21,8315;21,582;3,72207;0,000606061;2,30638;8,102;+
G5ED33(621);19,0158;20,0399;20,9728;21,2806;20,6689;19,8074;19,8263;21,4035;0,0547963;0,819323;-0,0992689;-0,155585;
G5ED33(524);17,7554;20,1916;19,9996;18,449;21,3207;20,457;21,1569;20,8725;1,60435;0,0132864;-1,85288;-2,97276;+
G5ED33(755);24,1164;23,7851;23,4222;23,0601;24,5316;23,0237;23,3382;24,1397;0,148578;0,580501;-0,162356;-0,389626;
G5ED33(537);23,8429;23,1984;22,3761;22,8616;25,2037;21,9564;23,4921;21,3081;0,0297035;0,900105;0,0796938;0,0864892;
G5ED33(583);23,8087;22,9247;23,8381;23,8007;20,5845;20,0789;20,1227;21,7398;3,24739;0,000901099;2,96154;6,6343;+
A0A061ACQ8(315);17,8235;20,2668;18,7401;21,1825;21,4137;20,3753;20,2783;21,1525;0,805101;0,0848075;-1,30171;-1,6187;
A0A061ACQ8(294);22,2595;23,3938;22,8448;23,2788;20,2449;20,6627;20,3218;21,4516;3,02765;0,000980333;2,27396;6,03157;+
A0A061ACQ8(133);25,6735;26,3082;25,9416;26,8577;26,0796;26,6214;27,3457;25,2603;0,0942926;0,704477;-0,131511;-0,258261;
A0A061ACQ8(135);25,6735;26,3082;25,9416;26,8577;26,0796;24,4882;24,0322;24,5542;1,46963;0,0177738;1,40672;2,73604;+
A0A061ACR1(589);23,3745;23,1524;23,9663;23,5295;24,6031;23,893;27,408;25,7024;1,28332;0,0271957;-1,89595;-2,41692;+
A0A061AL01(989);19,7043;18,1049;21,682;20,0537;21,6271;21,5454;19,618;21,1324;0,593566;0,147489;-1,09454;-1,25858;
A0A061AL01(593);20,9039;20,0927;20,085;19,0373;20,3374;20,0229;21,7904;21,6173;0,765776;0,0930275;-0,912264;-1,5527;
B3GWD8(179);18,5562;19,1444;17,9817;18,8163;21,9518;20,5953;21,7451;21,6637;3,48127;0,000468384;-2,86434;-7,32721;+
B3GWD8(187);18,7951;19,3143;21,3415;19,1342;21,5007;20,8678;21,3048;20,5311;1,20419;0,0324015;-1,40482;-2,28361;+
B3GWD8(196);19,963;17,7262;21,0365;20,5899;20,1236;20,5493;21,1031;20,9334;0,507778;0,186263;-0,848435;-1,10719;
