ProteinAccessions;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04; -Log Student's T-test p-value daf2_d15_eat2_d15;Student's T-test q-value daf2_d15_eat2_d15; Student's T-test Difference daf2_d15_eat2_d15;Student's T-test Test statistic daf2_d15_eat2_d15;Sign p-val: 0.05 
A0A061ACH4;12,2069;12,0594;9,76451;11,8261;14,6929;14,6219;15,0714;15,0036;2,94094;0,000211221;-3,3832;-5,8056;+
A0A061ACL3;15,8211;16,1505;15,4504;15,4914;17,3614;18,3607;17,4468;18,4773;3,19393;0,000183066;-2,18323;-6,48354;+
A0A061ACM2;12,2998;11,8259;11,4712;11,7534;14,2241;15,3397;14,695;14,718;4,275;0,00010118;-2,90665;-10,1538;+
A0A061ACR1;16,9059;16,8133;16,6107;17,1328;17,278;17,2816;17,5184;17,6879;2,10481;0,0014747;-0,575793;-3,91403;+
A0A061ACU2;14,9222;14,4529;15,2528;15,1532;16,0356;16,4429;16,43;16,6367;3,23631;0,000185874;-1,44105;-6,60283;+
A0A061AD18;17,1845;15,4121;16,1883;17,3328;14,6643;14,6084;14,1804;15,4371;1,8741;0,00237274;1,80688;3,46637;+
A0A061AD21;17,394;16,9375;17,068;17,1822;19,3013;19,958;19,5637;20,0334;4,89858;8,58E-05;-2,56865;-13,0228;+
A0A061AD39;12,3697;13,9836;12,3076;13,9048;14,9805;15,0657;14,7737;14,3285;1,80803;0,00277665;-1,64565;-3,34275;+
A0A061AD47;17,7318;17,2426;16,9599;17,1441;17,8152;18,0893;17,9604;18,4654;2,03026;0,00183631;-0,812963;-3,76651;+
A0A061ADY8;12,8317;12,2961;12,512;12,9942;14,5301;15,4822;14,9562;14,7982;3,96885;0,000117728;-2,28321;-8,96757;+
A0A061AE05;15,4369;14,6658;15,0787;16,4961;16,3486;16,9502;17,2291;16,4725;1,62316;0,00459623;-1,33074;-3,00629;+
A0A061AIW1;13,6777;14,3371;14,6652;14,6894;17,0288;16,4714;17,191;17,2637;3,96062;0,000116848;-2,64637;-8,93743;+
A0A061AJK8;14,2176;14,4117;13,4286;13,2425;14,7691;14,5101;14,4768;15,3084;1,45939;0,00685888;-0,940994;-2,71828;+
A0A061AKY5;16,5696;15,9392;15,6755;16,5092;14,6074;14,9306;14,7396;14,9846;2,92889;0,000210008;1,35779;5,7747;+
A0A061AL58;14,5355;14,6999;14,4939;14,9344;13,3425;15,221;14,9797;15,4351;0,0570014;0,680153;-0,0786352;-0,161503;
A0A078BPG0;14,2578;13,9932;14,6474;15,1687;14,9222;15,0741;14,3462;14,5228;0,268175;0,224229;-0,199539;-0,650783;
A0A078BPH9;12,2985;11,947;12,4792;11,8912;14,4955;13,7579;14,6724;15,255;3,38964;0,000125799;-2,39124;-7,04909;+
A0A078BPJ4;15,2263;15,4442;15,1319;15,1181;16,3116;16,5902;16,4232;16,4513;4,86063;8,30E-05;-1,21395;-12,8287;+
A0A078BQL1;14,3675;14,3236;13,5239;14,0069;15,1169;15,2052;14,8207;15,8897;2,16378;0,00114118;-1,2026;-4,03281;+
A0A078BQP7;14,3337;14,6362;14,8568;15,0861;14,8389;15,4545;15,0084;15,3403;1,04146;0,0200922;-0,432334;-2,01206;+
A0A0K3AQM0;13,9325;14,4416;14,4983;14,9111;14,9571;15,1334;14,5622;14,6738;0,801165;0,0387293;-0,385739;-1,61211;+
A0A0K3AQN0;13,1338;12,4764;12,0041;13,3743;14,9662;15,3609;14,9144;15,1615;3,43032;0,000128192;-2,35362;-7,17147;+
A0A0K3AQN5;15,5517;15,5128;15,1444;15,5406;16,263;15,942;16,5103;18,9858;1,10341;0,0171783;-1,48797;-2,11513;+
A0A0K3AQT9;17,5258;16,8627;17,8107;18,2929;14,7356;14,4461;14,7467;15,4556;3,5514;0,000136752;2,77702;7,54615;+
A0A0K3AQU9;14,028;14,6544;14,7886;14,9017;14,9324;15,4181;14,2691;14,7208;0,335197;0,171358;-0,241949;-0,785263;
A0A0K3AQV8;12,3222;12,2655;14,0327;12,933;14,9873;14,8484;14,0506;15,3082;2,09832;0,00151821;-1,91025;-3,90108;+
A0A0K3AQW8;16,4987;14,5871;16,1889;15,6524;14,4995;14,7387;12,7065;15,4268;0,99838;0,0224453;1,38891;1,94049;+
A0A0K3AQY3;11,6871;11,8917;11,7372;12,0707;14,9576;15,4854;13,9322;14,2619;3,64036;0,000143097;-2,81259;-7,83172;+
A0A0K3AR63;11,7855;12,0595;11,7779;12,0944;13,9248;15,4823;13,9326;13,6722;2,81709;0,000282132;-2,32366;-5,49374;+
A0A0K3ARA8;12,1525;12,0584;11,7014;11,8513;14,5306;14,5676;14,7485;15,431;4,76855;7,66E-05;-2,87855;-12,3688;+
A0A0K3ARC0;12,0055;13,1996;12,879;13,5371;17,5938;17,7435;17,6884;17,0757;4,84386;8,17E-05;-4,62007;-12,7438;+
A0A0K3ARE1;12,3058;11,3864;11,6527;12,033;14,9741;15,5163;13,4171;15,0916;2,9333;0,00021044;-2,90534;-5,78601;+
A0A0K3ARF3;12,2917;11,4481;11,3373;12,0885;15,0217;15,2217;14,819;15,1931;4,88508;8,49E-05;-3,27251;-12,9535;+
A0A0K3ARJ1;12,0465;11,8805;11,7464;12,0446;14,5316;15,1375;15,0211;15,0412;5,92568;0,000310881;-3,00337;-19,4767;+
A0A0K3ARM6;16,8271;16,1133;16,3452;16,5303;14,7922;15,1266;14,8369;14,9976;3,96618;0,000117406;1,51567;8,95779;+
A0A0K3ARN9;12,3083;12,0572;11,5711;11,9796;14,8821;15,0305;14,947;15,4674;5,31608;0,000137615;-3,10268;-15,3504;+
A0A0K3ARX5;11,8309;11,9709;11,7413;12,0859;14,8786;14,5327;14,0664;14,8981;4,86403;8,32E-05;-2,68671;-12,846;+
A0A0K3AS68;15,8318;15,248;16,804;17,2428;19,0011;20,0038;19,1395;20,0611;3,06792;0,000222126;-3,26969;-6,13873;+
A0A0K3ASB9;15,9486;16,6889;15,6395;15,4748;14,9316;14,6014;14,6561;14,423;2,36321;0,000786525;1,28493;4,44916;+
A0A0K3ASG4;13,241;14,1866;15,5177;11,1818;14,1129;14,3868;14,857;15,1964;0,544774;0,0824879;-1,10652;-1,173;
A0A0K3ASH2;18,6079;18,7012;18,5758;18,6198;19,443;19,5954;19,7306;19,5887;5,24532;0,00012474;-0,963257;-14,9299;+
A0A0K3ASH9;14,152;14,1712;13,9178;13,872;12,8441;15,5238;13,2333;14,9485;0,0589598;0,670948;-0,109154;-0,16674;
A0A0K3ASM2;11,5121;12,0259;11,6543;12,0479;14,6911;14,6039;14,2977;14,9354;5,2584;0,00012766;-2,82196;-15,0067;+
A0A0K3AT36;14,846;15,3107;14,6993;14,6516;17,5071;18,1994;18,1953;18,0443;5,07865;0,000102041;-3,10964;-13,9824;+
A0A0K3ATC0;17,7529;17,8255;17,6134;17,8;18,8977;19,9425;19,2313;19,9725;3,20303;0,000183402;-1,76306;-6,50899;+
A0A0K3ATS1;22,0097;20,8857;21,353;21,3849;22,9724;24,6822;24,2346;24,7799;2,94054;0,000211134;-2,75896;-5,80457;+
A0A0K3AUD2;14,8424;15,6232;15,2432;9,27069;16,4129;17,053;16,6976;16,9933;1,04621;0,0198194;-3,04432;-2,01995;+
A0A0K3AUJ9;21,5481;21,431;21,9352;21,9874;22,4809;23,0663;22,5501;22,7704;2,6883;0,000360914;-0,99148;-5,1823;+
A0A0K3AUW2;14,3262;14,4487;14,2435;14,1746;14,7536;15,4294;14,4854;14,7113;1,37904;0,00842978;-0,546661;-2,57982;+
A0A0K3AUZ7;12,2878;11,9467;11,7135;11,4571;14,904;14,5921;14,4733;15,3829;4,497;0,000119284;-2,98676;-11,1006;+
A0A0K3AVA9;11,8844;12,058;10,8493;11,4062;14,3599;14,1527;14,3449;15,146;3,82455;0,000105977;-2,95144;-8,45222;+
A0A0K3AVL7;12,7838;14,2457;13,8184;11,8336;13,5977;15,3824;14,9495;15,245;1,2697;0,0109008;-1,62324;-2,3939;+
A0A0K3AVS5;17,177;17,306;17,2586;17,621;17,6104;18,1733;17,6761;18,3232;1,61191;0,00468259;-0,605132;-2,98621;+
A0A0K3AVV4;14,5049;14,2596;14,5014;15,4723;18,8259;19,1867;18,758;18,8376;5,21765;0,000121212;-4,2175;-14,7684;+
A0A0K3AW68;13,65;11,7346;11,3934;10,8491;14,3911;15,2;14,2999;15,2366;2,32159;0,000846259;-2,87512;-4,36033;+
A0A0K3AW96;16,8634;16,9329;16,9231;17,082;18,6103;18,663;18,4095;18,5762;6,29497;0;-1,61445;-22,4803;+
A0A0K3AXM4;17,1087;16,9448;16,2745;16,4609;18,1679;16,9759;18,0635;17,7752;1,69751;0,00368033;-1,04839;-3,14001;+
