Leading.proteins.Positions.within.proteins;log2 daf2_d5_01;log2 daf2_d5_02;log2 daf2_d5_03;log2 daf2_d5_04;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04; -Log Student's T-test p-value daf2_d5_eat2_d5;Student's T-test q-value  daf2_d5_eat2_d5; Student's T-test Difference  daf2_d5_eat2_d5;Student's T-test Test statistic  daf2_d5_eat2_d5;Sign p-val: 0.05 
G5ED33(542);21,7283;19,1263;16,9484;19,5784;22,702;23,1942;23,0416;24,2504;2,0557;0,0012852;-3,95171;-3,81652;+
G5ED33(562);21,0619;19,4139;18,8798;20,6509;23,8974;26,7129;27,0381;25,4021;3,21697;0,00011898;-5,76103;-6,54818;+
G5ED33(621);19,8681;19,7115;19,4418;20,2652;20,8424;21,0919;20,2925;21,864;1,76064;0,00235343;-1,20105;-3,25522;+
G5ED33(524);17,3168;17,2941;18,3084;18,8222;23,4626;23,6842;22,8629;23,4315;4,89557;0;-5,42492;-13,0074;+
G5ED33(755);14,24;16,2222;17,0743;15,9533;21,9968;23,1719;22,3767;22,5101;4,31835;0;-6,64141;-10,3327;+
G5ED33(537);18,8236;17,8722;17,8891;18,4586;21,595;21,5468;20,8732;20,8042;4,07644;0,000163569;-2,94395;-9,36955;+
G5ED33(583);19,8229;19,5347;18,5868;16,4206;20,4087;20,5938;21,3076;20,5389;1,42774;0,00513145;-2,12098;-2,66353;+
A0A061ACQ8(315);19,1515;20,881;18,7091;17,8859;24,8353;26,6069;28,0849;24,5607;3,2401;0,000122987;-6,86511;-6,61359;+
A0A061ACQ8(294);23,1079;22,2062;23,2476;22,728;21,2459;21,5406;21,2437;21,3923;3,02549;0,000177671;1,46681;6,02587;+
A0A061ACQ8(133);25,3163;25,7199;25,3947;26,0253;27,5851;25,9051;25,9511;27,8005;1,17189;0,0114758;-1,19638;-2,22947;+
A0A061ACQ8(135);25,3163;26,0487;25,3947;26,0253;25,2067;25,9051;25,9511;27,1847;0,34357;0,208812;-0,36564;-0,80161;
A0A061ACR1(589);24,594;23,8529;24,1401;23,1285;23,275;25,0014;24,4762;24,5705;0,361053;0,195322;-0,401861;-0,835459;
A0A061AL01(989);17,9959;17,1447;20,6863;19,1526;20,6705;20,1351;19,8288;21,9589;1,10397;0,0136009;-1,90345;-2,11606;+
A0A061AL01(593);18,4219;19,8675;17,9276;17,6966;22,9219;22,8252;22,966;23,1064;4,01126;0,000152249;-4,47645;-9,12414;+
B3GWD8(179);19,3549;20,1873;15,7297;19,4834;20,1448;20,9953;20,9473;20,9437;1,04669;0,0158566;-2,06894;-2,02075;+
B3GWD8(187);18,6804;19,5573;17,7639;17,7995;20,769;20,2735;21,3764;21,6481;2,55952;0,000558603;-2,56648;-4,88319;+
B3GWD8(196);17,9553;19,3841;18,7385;18,1227;21,0195;21,3697;20,1126;20,3163;2,57134;0,000563758;-2,15437;-4,91016;+
