Proteins,daf2_d5_01,daf2_d5_02,daf2_d5_03,daf2_d5_04,daf2_d1_01,daf2_d1_02,daf2_d1_03,daf2_d1_04,daf2_d10_01,daf2_d10_02,daf2_d10_03,daf2_d10_04,daf2_d15_01,daf2_d15_02,daf2_d15_03,daf2_d15_04
G5ED33,21.7283,19.1263,16.9484,19.5784,26.4047,26.7502,25.6981,25.15,23.4587,24.0664,23.1137,25.0985,24.7874,25.02,24.5148,23.6856
G5ED33,21.0619,19.4139,18.8798,20.6509,25.3984,26.2714,22.5561,25.9233,25.0749,25.3106,24.0962,24.1866,23.5194,24.1715,23.8636,24.1473
G5ED33,19.8681,19.7115,19.4418,20.2652,23.8377,23.445,23.0266,24.8074,20.0707,21.7295,21.2479,20.9707,19.0158,20.0399,20.9728,21.2806
G5ED33,17.3168,17.2941,18.3084,18.8222,18.7979,17.9392,20.3093,20.6005,20.4936,20.3288,19.9947,21.4875,17.7554,20.1916,19.9996,18.449
G5ED33,14.24,16.2222,17.0743,15.9533,23.6389,24.2897,24.7304,24.1662,24.1916,24.2188,25.0236,23.9262,24.1164,23.7851,23.4222,23.0601
G5ED33,18.8236,17.8722,17.8891,18.4586,18.0559,18.292,17.6013,18.6678,23.3225,23.5801,24.0032,24.7963,23.8429,23.1984,22.3761,22.8616
B3GWD8,18.6804,19.5573,17.7639,17.7995,17.632,19.3657,18.0831,17.2284,19.715,20.1627,19.7253,17.7271,18.7951,19.3143,21.3415,19.1342
B3GWD8,17.9553,19.3841,18.7385,18.1227,18.4499,19.4154,20.0343,20.7251,20.1273,18.8333,20.6156,20.7385,19.963,17.7262,21.0365,20.5899
Q3S1I9,21.5334,18.8672,17.4174,20.5942,19.1311,19.4345,14.2751,18.4942,19.9088,20.3734,19.7662,18.8902,20.1555,21.0436,20.5461,17.5459
Q3S1I9,20.6548,18.3746,18.1842,19.5638,18.8384,18.4484,18.2648,17.5428,23.2732,23.2923,23.206,21.6354,17.2498,20.9428,21.0508,18.4893
G5EDF9,20.7985,18.0818,17.7649,18.1729,19.5352,19.2865,16.8267,16.7708,21.0697,18.4201,20.6069,17.6945,19.1434,20.2455,20.667,19.6401
G5EDF9,16.7509,19.2432,19.3601,18.186,19.6254,17.7227,18.0937,19.1357,24.0194,23.5051,25.0464,23.7446,16.9269,20.7184,19.8914,17.7498
O16293,20.4965,17.461,18.4456,20.8863,20.4288,16.8812,15.7731,17.6074,18.0751,18.7711,20.6488,21.2028,19.1007,21.2447,19.289,19.7215
O02147,17.6753,20.5418,20.7526,20.047,16.6471,16.5986,17.5232,15.7265,19.7207,20.0292,20.1321,18.9615,18.6832,19.1102,20.6793,18.719
F3Y5Q3,25.0103,25.9812,23.979,25.2222,23.5195,24.0505,23.9401,24.3921,19.6122,20.2148,18.0652,17.908,16.6789,20.1247,20.0422,18.748
Q9N350,18.6843,18.4944,16.3741,18.5412,17.9925,18.1336,17.8698,16.0204,20.9087,21.0456,18.8889,20.9297,19.1539,20.3531,20.2152,20.2314
Q9N350,26.0506,24.1159,23.8858,23.7103,18.223,16.7634,18.7061,18.8272,20.7289,20.8271,17.8641,20.2752,18.8699,18.4687,20.1066,19.228
A5JYX4,25.1179,24.7363,28.4675,25.764,17.6546,18.8981,15.447,18.3201,24.3233,23.7163,25.2255,24.9766,25.44,25.662,25.8266,24.9303
A5JYX4,20.4409,17.8599,18.6158,16.5709,18.6665,18.1172,18.8853,17.6799,16.9215,20.8291,18.5689,17.5726,20.132,21.7808,18.9932,19.2551
A5JYX4,17.7355,20.8947,18.7167,19.7196,19.0056,15.6309,19.8691,17.671,18.7675,21.2906,19.7683,19.8006,16.0522,20.3897,19.817,19.9238
