ProteinAccessions;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value eat2_d1_N2_d1;Student's T-test q-value eat2_d1_N2_d1; Student's T-test Difference eat2_d1_N2_d1;Student's T-test Test statistic eat2_d1_N2_d1;Sign p-val: 0.05 
A0A061ACH4;12,9683;13,6616;13,4782;13,2256;13,4942;13,8845;13,8712;13,6388;1,14322;0,178429;-0,388758;-2,18154;
A0A061ACL3;16,1567;15,8846;16,141;15,9632;16,0888;15,7628;15,7788;16,1181;0,366695;0,578018;0,0992546;0,846302;
A0A061ACM2;13,8975;12,8773;13,4087;13,531;13,6373;12,5531;12,7802;13,2235;0,552992;0,436003;0,380095;1,18751;
A0A061ACR1;16,91;16,4458;16,5862;16,4466;16,5923;16,5336;16,4166;16,889;0,0246375;0,963918;-0,0107174;-0,0721216;
A0A061ACU2;14,6784;14,3752;14,6108;14,3797;13,8155;14,1636;14,1229;14,2687;1,81041;0,0728791;0,418315;3,34717;
A0A061AD18;17,2252;17,1974;17,211;17,4039;17,3976;17,1534;17,8241;17,5571;0,735799;0,326635;-0,223652;-1,50216;
A0A061AD21;16,5375;16,3752;16,5971;16,4363;16,8657;16,7427;17,0923;16,9885;2,52773;0,0287434;-0,435787;-4,81117;+
A0A061AD39;13,0048;13,8586;13,8529;12,6856;13,6681;13,8291;13,4314;13,5216;0,364306;0,57996;-0,262065;-0,841716;
A0A061AD47;15,9666;15,9984;15,9232;16,1421;15,9665;15,8482;16,026;16,1803;0,00923423;0,986661;0,00230265;0,0274882;
A0A061ADY8;13,082;12,5815;12,6605;12,5371;12,2756;12,3501;10,9582;12,1981;1,14134;0,178557;0,769768;2,17841;
A0A061AE05;14,9067;13,8865;13,7469;14,701;15,3031;13,9893;14,1854;15,2644;0,357934;0,584119;-0,375295;-0,829449;
A0A061AIW1;14,5009;14,8805;14,8057;15,3388;14,182;15,2123;15,0108;14,2918;0,277136;0,661048;0,207247;0,669172;
A0A061AJK8;12,9254;12,9859;13,2029;12,5426;13,3919;13,4873;13,3822;13,5391;2,02619;0,0521942;-0,53595;-3,75854;
A0A061AKY5;13,4882;13,6665;16,0098;13,7283;14,7652;15,4042;15,9958;16,5278;1,06284;0,201809;-1,45007;-2,04761;
A0A061AL58;13,6137;13,1062;13,7746;15,0526;13,7457;13,1536;12,5701;11,2878;0,908315;0,254256;1,1975;1,79086;
A0A078BPG0;13,6949;13,4141;13,5184;13,6471;13,1297;13,6954;13,5721;13,5913;0,201074;0,738987;0,071475;0,508279;
A0A078BPH9;15,0309;14,0591;13,8953;14,538;14,5513;14,0597;14,1416;14,0431;0,264798;0,674473;0,181875;0,643817;
A0A078BPJ4;14,4921;14,3969;14,5247;14,3475;14,8645;14,8632;14,8308;14,718;3,38928;0,00954331;-0,37883;-7,04802;+
A0A078BQL1;13,5437;15,1879;14,7286;14,2836;14,6259;14,8664;15,37;13,9504;0,23608;0,70367;-0,267207;-0,583746;
