ProteinAccessions;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
A0A061ACH4;14,6929;14,6219;15,0714;15,0036;11,8582;11,9786;11,6818;13,1573;3,56388;0,000306011;2,67847;7,5857;+
A0A061ACL3;17,3614;18,3607;17,4468;18,4773;17,491;17,7836;16,9469;16,8786;0,876238;0,046721;0,636526;1,73748;+
A0A061ACM2;14,2241;15,3397;14,695;14,718;13,3212;13,2322;12,972;13,1131;3,22644;0,000605974;1,58457;6,5749;+
A0A061ACR1;17,278;17,2816;17,5184;17,6879;17,9998;17,8431;17,431;17,6452;0,925875;0,0407936;-0,288308;-1,82006;+
A0A061ACU2;16,0356;16,4429;16,43;16,6367;15,2204;15,3511;15,7552;16,1355;1,71729;0,00734871;0,77075;3,17595;+
A0A061AD18;14,6643;14,6084;14,1804;15,4371;16,561;16,156;16,7497;16,1041;2,81004;0,00112172;-1,67017;-5,47636;+
A0A061AD21;19,3013;19,958;19,5637;20,0334;18,0254;17,6787;17,736;17,8522;4,25005;0;1,891;10,0521;+
A0A061AD39;14,9805;15,0657;14,7737;14,3285;14,6547;14,2895;14,3799;14,205;1,10297;0,0268562;0,404811;2,11441;+
A0A061AD47;17,8152;18,0893;17,9604;18,4654;17,2222;16,9598;16,8673;16,9006;3,30629;0,000552138;1,09511;6,80361;+
A0A061ADY8;14,5301;15,4822;14,9562;14,7982;13,4196;13,8567;13,4172;13,5172;3,07214;0,000768937;1,38904;6,15007;+
A0A061AE05;16,3486;16,9502;17,2291;16,4725;16,4563;15,7657;15,6139;15,7992;1,63474;0,00856492;0,841294;3,02698;+
A0A061AIW1;17,0288;16,4714;17,191;17,2637;14,9148;13,9611;15,9528;15,8218;1,98753;0,00445651;1,82609;3,68321;+
A0A061AJK8;14,7691;14,5101;14,4768;15,3084;13,1864;10,5308;11,6429;13,2391;2,06548;0,00375684;2,61632;3,83585;+
