Leading.proteins.Positions.within.proteins;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log Student's T-test p-value eat2_d5_eat2_d1;Student's T-test q-value eat2_d5_eat2_d1; Student's T-test Difference eat2_d5_eat2_d1;Student's T-test Test statistic eat2_d5_eat2_d1;Sign p-val: 0.05 
G5ED33(542);22,702;23,1942;23,0416;24,2504;23,5334;23,8659;22,8091;21,4201;0,249513;0,653291;0,389949;0,612038;
G5ED33(562);23,8974;26,7129;27,0381;25,4021;24,5767;24,9587;24,2381;24,8764;0,734194;0,278942;1,10014;1,49945;
G5ED33(621);20,8424;21,0919;20,2925;21,864;20,7121;21,6121;21,5258;20,8901;0,157053;0,764071;-0,162318;-0,409282;
G5ED33(524);23,4626;23,6842;22,8629;23,4315;22,5255;23,5415;23,281;23,7146;0,111125;0,82099;0,0946355;0,300082;
G5ED33(755);21,9968;23,1719;22,3767;22,5101;21,7742;22,8023;23,3951;21,6803;0,0752455;0,874111;0,100887;0,209594;
G5ED33(537);21,595;21,5468;20,8732;20,8042;20,3533;19,2331;21,6183;21,2415;0,469678;0,449805;0,593264;1,03843;
G5ED33(583);20,4087;20,5938;21,3076;20,5389;20,5678;20,222;21,3859;21,0173;0,0967674;0,839184;-0,0860071;-0,264477;
A0A061ACQ8(315);24,8353;26,6069;28,0849;24,5607;23,8289;24,4935;24,4446;23,923;1,15285;0,131432;1,84947;2,19764;
A0A061ACQ8(294);21,2459;21,5406;21,2437;21,3923;20,6905;20,6101;21,286;20,8378;1,61847;0,0556738;0,499577;2,99792;
A0A061ACQ8(133);27,5851;25,9051;25,9511;27,8005;24,3735;26,4799;26,1909;25,0773;0,918171;0,201391;1,28004;1,80725;
A0A061ACQ8(135);25,2067;25,9051;25,9511;27,1847;25,8144;26,1828;26,1909;25,0773;0,199081;0,714126;0,245553;0,503901;
A0A061ACR1(589);23,275;25,0014;24,4762;24,5705;24,4604;23,8085;23,8101;22,391;0,586385;0,362008;0,713229;1,24606;
A0A061AL01(989);20,6705;20,1351;19,8288;21,9589;20,9122;20,5604;20,0432;21,2337;0,0249512;0,956457;-0,0390544;-0,0730156;
A0A061AL01(593);22,9219;22,8252;22,966;23,1064;20,052;21,7668;21,7559;22,3719;1,57463;0,0612396;1,46821;2,92004;
B3GWD8(179);20,1448;20,9953;20,9473;20,9437;20,4407;21,4264;21,4755;19,5985;0,0154636;0,975451;0,0225019;0,045716;
B3GWD8(187);20,769;20,2735;21,3764;21,6481;20,2055;21,2947;21,4317;18,8279;0,369272;0,5316;0,576796;0,851243;
B3GWD8(196);21,0195;21,3697;20,1126;20,3163;23,8394;23,8007;23,6418;23,2697;4,00619;0,00364706;-2,93338;-9,10531;+
A0A061AD09(37);21,3938;21,6922;20,62;20,5959;20,7379;21,5393;21,4388;20,9034;0,0846047;0,858008;-0,0793815;-0,233695;
Q3S1I9(88);20,7498;21,0134;19,3533;21,4814;21,0449;20,8853;21,1509;20,5674;0,221587;0,688058;-0,262662;-0,552819;
Q3S1I9(240);21,3117;21,354;20,8736;21,522;20,9667;20,5865;20,3952;19,8745;1,64412;0,054511;0,809589;3,04377;
G5EDF9(7);24,0161;23,4262;23,0996;23,9464;21,4791;23,2069;23,4336;22,9113;0,89083;0,211718;0,864389;1,76178;
G5EDF9(13);24,4818;24,0993;24,7389;25,7138;20,0777;22,5115;23,8453;23,1834;1,41478;0,0824048;2,35396;2,64119;
G5EDF9(521);24,245;22,5821;22,8668;21,9342;22,0813;23,3163;22,4226;22,3875;0,263016;0,63896;0,355122;0,640134;
A0A0K3AQS9(98);22,5736;20,6851;21,604;20,2598;20,9403;21,7553;21,5142;19,7951;0,159138;0,760414;0,279403;0,414088;
A0A0K3AQS9(58);19,919;19,8893;21,57;20,1973;21,7373;23,0522;23,4179;21,6485;1,8589;0,0380132;-2,07008;-3,43776;+
A0A0K3AQS9(173);20,699;21,5537;20,7858;20,5967;23,6735;24,7184;25,6456;24,6859;3,76062;0,00423881;-3,77206;-8,23225;+
