Proteins,eat2_d5_01,eat2_d5_02,eat2_d5_03,eat2_d5_04,eat2_d1_01,eat2_d1_02,eat2_d1_03,eat2_d1_04,eat2_d10_01,eat2_d10_02,eat2_d10_03,eat2_d10_04,eat2_d15_01,eat2_d15_02,eat2_d15_03,eat2_d15_04
G5ED33,22.702,23.1942,23.0416,24.2504,23.5334,23.8659,22.8091,21.4201,22.0793,23.3671,23.3845,23.2758,21.5417,20.6052,21.8186,21.6586
G5ED33,23.8974,26.7129,27.0381,25.4021,24.5767,24.9587,24.2381,24.8764,21.8502,20.328,21.6943,20.7008,22.0936,20.9693,21.8315,21.582
G5ED33,20.8424,21.0919,20.2925,21.864,20.7121,21.6121,21.5258,20.8901,24.5216,22.7272,24.7716,25.6816,20.6689,19.8074,19.8263,21.4035
G5ED33,23.4626,23.6842,22.8629,23.4315,22.5255,23.5415,23.281,23.7146,23.9434,24.9522,23.8299,25.4669,21.3207,20.457,21.1569,20.8725
G5ED33,21.9968,23.1719,22.3767,22.5101,21.7742,22.8023,23.3951,21.6803,25.2289,25.084,24.6537,24.4369,24.5316,23.0237,23.3382,24.1397
G5ED33,21.595,21.5468,20.8732,20.8042,20.3533,19.2331,21.6183,21.2415,20.9934,20.1383,20.565,21.4765,25.2037,21.9564,23.4921,21.3081
G5ED33,20.4087,20.5938,21.3076,20.5389,20.5678,20.222,21.3859,21.0173,26.3567,25.103,25.1873,26.2083,20.5845,20.0789,20.1227,21.7398
A0A061ACQ8,24.8353,26.6069,28.0849,24.5607,23.8289,24.4935,24.4446,23.923,25.6572,25.2059,25.6378,24.9202,21.4137,20.3753,20.2783,21.1525
A0A061ACQ8,21.2459,21.5406,21.2437,21.3923,20.6905,20.6101,21.286,20.8378,20.9167,20.157,21.6092,20.6234,20.2449,20.6627,20.3218,21.4516
A0A061ACQ8,27.5851,25.9051,25.9511,27.8005,24.3735,26.4799,26.1909,25.0773,24.8245,24.1733,25.3429,22.6609,26.0796,26.6214,27.3457,25.2603
A0A061ACQ8,25.2067,25.9051,25.9511,27.1847,25.8144,26.1828,26.1909,25.0773,24.8245,24.1733,25.3429,22.9507,26.0796,24.4882,24.0322,24.5542
A0A061ACR1,23.275,25.0014,24.4762,24.5705,24.4604,23.8085,23.8101,22.391,20.6108,20.9844,20.9991,20.4449,24.6031,23.893,27.408,25.7024
A0A061AL01,20.6705,20.1351,19.8288,21.9589,20.9122,20.5604,20.0432,21.2337,21.2686,20.8189,21.433,19.8521,21.6271,21.5454,19.618,21.1324
A0A061AL01,22.9219,22.8252,22.966,23.1064,20.052,21.7668,21.7559,22.3719,24.2228,22.9565,24.0277,26.6275,20.3374,20.0229,21.7904,21.6173
B3GWD8,20.1448,20.9953,20.9473,20.9437,20.4407,21.4264,21.4755,19.5985,24.5006,24.5776,25.4118,24.2319,21.9518,20.5953,21.7451,21.6637
B3GWD8,20.769,20.2735,21.3764,21.6481,20.2055,21.2947,21.4317,18.8279,21.5394,18.8297,21.306,21.0766,21.5007,20.8678,21.3048,20.5311
B3GWD8,21.0195,21.3697,20.1126,20.3163,23.8394,23.8007,23.6418,23.2697,24.0581,22.4732,23.4203,22.4659,20.1236,20.5493,21.1031,20.9334
A0A061AD09;Q19102,21.3938,21.6922,20.62,20.5959,20.7379,21.5393,21.4388,20.9034,20.9959,21.2959,20.9351,20.4192,21.3746,20.6783,21.0299,20.5448
Q3S1I9,20.7498,21.0134,19.3533,21.4814,21.0449,20.8853,21.1509,20.5674,21.7362,19.9293,20.4636,20.918,22.0414,20.9049,19.5599,20.4587
Q3S1I9,21.3117,21.354,20.8736,21.522,20.9667,20.5865,20.3952,19.8745,19.4551,21.3654,21.0041,20.6358,22.4755,21.0297,22.664,23.1742
G5EDF9,24.0161,23.4262,23.0996,23.9464,21.4791,23.2069,23.4336,22.9113,24.4874,23.6056,24.1998,22.1189,21.7113,20.9051,21.5384,21.0025
G5EDF9,24.4818,24.0993,24.7389,25.7138,20.0777,22.5115,23.8453,23.1834,23.8183,24.5224,25.1071,24.2737,20.9095,20.6514,21.4471,20.1895
G5EDF9,24.245,22.5821,22.8668,21.9342,22.0813,23.3163,22.4226,22.3875,24.7171,24.3861,24.6156,30.1377,20.6047,20.1422,20.203,20.9822
A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,22.5736,20.6851,21.604,20.2598,20.9403,21.7553,21.5142,19.7951,19.9041,21.0368,21.7105,20.1931,21.6466,21.084,20.5156,19.8864
A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,19.919,19.8893,21.57,20.1973,21.7373,23.0522,23.4179,21.6485,21.2787,19.3966,21.8517,20.4801,20.922,19.9403,21.0624,21.5466
A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,20.699,21.5537,20.7858,20.5967,23.6735,24.7184,25.6456,24.6859,24.4696,24.5794,24.3204,24.1408,25.4485,22.6639,24.3064,25.0223
A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,21.3461,21.3356,20.2074,21.4635,20.1117,21.2592,21.6426,21.1536,23.444,22.7677,22.8373,25.1639,24.2264,23.5739,24.9054,23.2206
A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,21.2255,20.8924,20.869,19.5424,23.0888,23.3046,23.0679,23.8624,22.7873,23.9749,22.365,25.2145,25.0452,23.174,22.6811,24.166
A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,22.6992,23.0176,23.1191,25.5379,22.9346,24.8838,25.3789,23.9325,25.921,25.2815,25.9784,23.305,26.767,25.9117,25.99,26.6959
A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.3056,23.3663,23.6906,22.986,25.79,22.4392,23.0577,23.7932,25.0553,22.8239,24.059,26.5787,25.2813,24.0705,24.6979,22.9127
A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.6956,20.7265,20.4906,21.5442,20.2928,19.9698,20.1963,21.073,21.0878,20.6431,20.3204,21.1876,23.3782,23.6285,24.0569,23.3793
A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.7726,21.2043,21.3274,20.6785,21.0963,20.912,20.8785,20.2299,21.9138,20.6437,20.2026,20.6163,22.6481,25.086,25.3506,24.9068
