Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
A0A061ACL3;29,8858;29,077;29,0522;26,554;29,2725;29,6518;0,345905;0,519185;0,845594;0,834547;
A0A061ADT4;25,3778;25,7535;26,1147;24,548;24,5846;24,2957;2,27379;0,0105475;1,27261;5,50128;+
Q7YTG2;31,914;31,8511;31,7412;30,0162;30,7212;31,1201;1,69002;0,0237522;1,21625;3,72325;+
A0A061ACR1;29,0424;28,7195;29,6037;29,8158;29,7457;30,0883;1,28147;0,0479949;-0,761403;-2,73259;+
H2FLH2;33,963;33,9053;34,1288;33,3228;33,4972;33,6083;2,09421;0,0129703;0,522948;4,899;+
A0A067XG44;27,7274;27,2877;26,8478;27,8515;28,304;28,3859;1,37372;0,0411108;-0,892837;-2,94225;+
C1P641;30,3697;30,7285;30,6265;30,074;31,3311;30,7763;0,149618;0,824248;-0,152197;-0,401512;
Q86CZ7;31,8681;32,3075;32,0571;31,2368;31,8232;31,9745;0,70517;0,184913;0,399374;1,5453;
A0A061AL89;27,7501;27,2384;27,2975;24,3189;24,6692;24,1878;3,82612;0,001;3,03672;14,0421;+
D3YT69;27,4579;26,2518;26,3084;24,0727;24,575;24,5342;2,23484;0,0108726;2,27871;5,36593;+
A0A078BPJ4;25,1816;24,8685;24,2344;24,3743;24,6056;24,4962;0,397598;0,444951;0,26941;0,940272;
D3YT98;26,7372;25,7236;26,2636;26,2911;26,8317;26,1236;0,182929;0,781748;-0,174011;-0,480066;
A0A078BS22;24,9412;26,6273;26,3486;25,5928;26,6609;26,1213;0,0896018;0,887784;-0,152643;-0,251838;
A0A0K3AQS9;33,9025;33,6062;33,9798;32,792;33,7883;33,9888;0,325207;0,554322;0,306454;0,791531;
A0A0K3ATS5;28,8034;27,7425;27,7046;26,1195;26,0723;25,9189;2,30285;0,0105143;2,04661;5,60407;+
A0A0K3ARB5;33,9754;33,9138;33,7983;33,7089;33,9266;33,9574;0,12275;0,848144;0,0315412;0,335953;
A0A0K3ARI2;25,8441;25,7987;25,6638;26,1225;27,806;27,7659;1,23279;0,0526215;-1,46259;-2,62475;
A0A0K3ARK6;28,725;28,4847;28,6283;29,1942;28,0856;27,8748;0,212954;0,739678;0,227773;0,548674;
A0A0K3AUB7;25,7381;26,1986;25,6433;25,6484;26,0952;26,0252;0,102613;0,871645;-0,0629374;-0,285321;
Q9U2T9;28,7883;28,7416;28,6145;26,7145;27,9507;27,7551;1,48543;0,0331796;1,24138;3,20636;+
A0A0K3ASH2;27,556;27,0605;26,9349;27,5883;27,4135;27,4162;0,660095;0,209689;-0,288887;-1,45745;
A0A0K3AVI4;32,3749;32,6144;32,3761;31,2685;32,269;32,2501;0,706361;0,18479;0,525974;1,54762;
A0A0K3ATC0;27,8015;27,9007;27,59;28,2099;29,6288;29,2016;1,35738;0,0416653;-1,24938;-2,90459;+
A0A0K3AUC2;31,7468;31,7263;28,2889;24,278;24,6725;24,6052;2,20125;0,0111429;6,06876;5,25133;+
Q8IG31;32,2062;32,5591;32,1874;32,113;33,0998;33,0136;0,557084;0,281995;-0,424604;-1,2566;
A0A0K3AV58;24,9937;25,6937;25,9153;28,1546;25,1528;24,5005;0,127062;0,843331;-0,401723;-0,346622;
A0A0K3AV63;25,6762;25,6999;25,9933;25,2479;25,0615;25,9229;0,604766;0,244379;0,379049;1,34967;
A0A0K3AVF2;28,41;28,3909;29,5167;27,7958;26,7881;28,2146;0,975203;0,0932426;1,17305;2,08123;
A0A0K3AY18;23,998;23,8556;24,1075;24,4075;26,9626;27,3626;1,14333;0,0623695;-2,25722;-2,43117;
A0A0K3AW68;30,4119;30,6638;31,0678;30,1831;30,4901;31,5148;0,0109925;0,985676;-0,0148538;-0,0333324;
A0A0K3AY85;29,7661;30,3877;30,3102;29,6638;30,3782;30,5585;0,0463558;0,94178;-0,0455265;-0,135501;
A0A0K3AYJ1;28,1808;28,2298;28,0969;29,0758;29,3824;29,0476;3,02948;0,00147475;-0,9994;-8,76421;+
H2L047;27,7314;26,364;26,9839;26,5452;26,8144;27,5611;0,0358714;0,954797;0,0528272;0,105951;
A0A0S4XR43;30,404;30,1343;30,1845;27,8748;28,9738;28,9274;1,95811;0,0151368;1,64893;4,4773;+
A0A131MBC3;29,4729;29,1511;29,7759;28,6633;29,108;29,2437;0,852689;0,12967;0,46162;1,83517;
O62332;26,2462;25,8851;26,5874;26,8294;26,7049;26,8578;1,25795;0,0495531;-0,557803;-2,68026;+
A0A131MBU3;29,9265;29,5011;29,6615;28,917;29,5938;29,7124;0,44816;0,387335;0,288636;1,04182;
A0A131MCD3;26,0591;26,4918;26,1894;25,6504;25,3484;25,3245;2,08335;0,0130829;0,80566;4,86428;+
