geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
eps-8;G5ED33,22.0793,23.3671,23.3845,23.2758,17.5327,19.8041,20.9319,19.6009
eps-8;G5ED33,21.8502,20.328,21.6943,20.7008,17.1798,18.6986,21.2561,21.0882
eps-8;G5ED33,24.5216,22.7272,24.7716,25.6816,20.7311,21.7289,19.4175,17.9633
eps-8;G5ED33,23.9434,24.9522,23.8299,25.4669,25.4427,25.1152,25.5114,24.5829
eps-8;G5ED33,25.2289,25.084,24.6537,24.4369,23.8439,24.3591,25.0551,24.8455
eps-8;G5ED33,20.9934,20.1383,20.565,21.4765,18.8139,19.5756,21.0625,19.1871
eps-8;G5ED33,26.3567,25.103,25.1873,26.2083,19.1268,19.4666,19.463,19.8508
;A0A061ACQ8,25.6572,25.2059,25.6378,24.9202,25.1179,25.6788,25.3254,25.0607
;A0A061ACQ8,20.9167,20.157,21.6092,20.6234,19.3402,20.135,17.2983,16.8941
;A0A061ACQ8,24.8245,24.1733,25.3429,22.6609,18.8628,20.9229,20.6477,21.4521
;A0A061ACQ8,24.8245,24.1733,25.3429,22.9507,19.9375,18.9843,21.5938,19.9823
T14G10.5;A0A061ACR1,20.6108,20.9844,20.9991,20.4449,19.7171,19.1901,19.1267,19.7952
pezo-1;A0A061AL01,21.2686,20.8189,21.433,19.8521,16.1122,19.4221,20.4245,20.9586
pezo-1;A0A061AL01,24.2228,22.9565,24.0277,26.6275,21.007,19.7355,20.3847,19.7913
;B3GWD8,24.5006,24.5776,25.4118,24.2319,22.6992,22.7306,24.1893,21.0493
;B3GWD8,21.5394,18.8297,21.306,21.0766,20.5715,19.9464,17.1615,21.2368
;B3GWD8,24.0581,22.4732,23.4203,22.4659,20.3282,21.7727,19.1176,21.5312
ard-1;A0A061AD09;Q19102,20.9959,21.2959,20.9351,20.4192,19.9764,18.4282,19.5034,18.9757
lim-9;Q3S1I9,21.7362,19.9293,20.4636,20.918,19.0928,17.2822,19.4194,21.3455
