geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
eps-8;G5ED33,22.0793,23.3671,23.3845,23.2758,23.5334,23.8659,22.8091,21.4201
eps-8;G5ED33,21.8502,20.328,21.6943,20.7008,24.5767,24.9587,24.2381,24.8764
eps-8;G5ED33,24.5216,22.7272,24.7716,25.6816,20.7121,21.6121,21.5258,20.8901
eps-8;G5ED33,23.9434,24.9522,23.8299,25.4669,22.5255,23.5415,23.281,23.7146
eps-8;G5ED33,25.2289,25.084,24.6537,24.4369,21.7742,22.8023,23.3951,21.6803
eps-8;G5ED33,20.9934,20.1383,20.565,21.4765,20.3533,19.2331,21.6183,21.2415
eps-8;G5ED33,26.3567,25.103,25.1873,26.2083,20.5678,20.222,21.3859,21.0173
;A0A061ACQ8,25.6572,25.2059,25.6378,24.9202,23.8289,24.4935,24.4446,23.923
;A0A061ACQ8,20.9167,20.157,21.6092,20.6234,20.6905,20.6101,21.286,20.8378
;A0A061ACQ8,24.8245,24.1733,25.3429,22.6609,24.3735,26.4799,26.1909,25.0773
;A0A061ACQ8,24.8245,24.1733,25.3429,22.9507,25.8144,26.1828,26.1909,25.0773
T14G10.5;A0A061ACR1,20.6108,20.9844,20.9991,20.4449,24.4604,23.8085,23.8101,22.391
pezo-1;A0A061AL01,21.2686,20.8189,21.433,19.8521,20.9122,20.5604,20.0432,21.2337
pezo-1;A0A061AL01,24.2228,22.9565,24.0277,26.6275,20.052,21.7668,21.7559,22.3719
;B3GWD8,24.5006,24.5776,25.4118,24.2319,20.4407,21.4264,21.4755,19.5985
;B3GWD8,21.5394,18.8297,21.306,21.0766,20.2055,21.2947,21.4317,18.8279
;B3GWD8,24.0581,22.4732,23.4203,22.4659,23.8394,23.8007,23.6418,23.2697
ard-1;A0A061AD09;Q19102,20.9959,21.2959,20.9351,20.4192,20.7379,21.5393,21.4388,20.9034
lim-9;Q3S1I9,21.7362,19.9293,20.4636,20.918,21.0449,20.8853,21.1509,20.5674
lim-9;Q3S1I9,19.4551,21.3654,21.0041,20.6358,20.9667,20.5865,20.3952,19.8745
pgp-2;G5EDF9,24.4874,23.6056,24.1998,22.1189,21.4791,23.2069,23.4336,22.9113
pgp-2;G5EDF9,23.8183,24.5224,25.1071,24.2737,20.0777,22.5115,23.8453,23.1834
pgp-2;G5EDF9,24.7171,24.3861,24.6156,30.1377,22.0813,23.3163,22.4226,22.3875
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,19.9041,21.0368,21.7105,20.1931,20.9403,21.7553,21.5142,19.7951
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,21.2787,19.3966,21.8517,20.4801,21.7373,23.0522,23.4179,21.6485
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,24.4696,24.5794,24.3204,24.1408,23.6735,24.7184,25.6456,24.6859
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,23.444,22.7677,22.8373,25.1639,20.1117,21.2592,21.6426,21.1536
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,22.7873,23.9749,22.365,25.2145,23.0888,23.3046,23.0679,23.8624
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.921,25.2815,25.9784,23.305,22.9346,24.8838,25.3789,23.9325
