geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
eps-8;G5ED33,22.0793,23.3671,23.3845,23.2758,22.702,23.1942,23.0416,24.2504
eps-8;G5ED33,21.8502,20.328,21.6943,20.7008,23.8974,26.7129,27.0381,25.4021
eps-8;G5ED33,24.5216,22.7272,24.7716,25.6816,20.8424,21.0919,20.2925,21.864
eps-8;G5ED33,23.9434,24.9522,23.8299,25.4669,23.4626,23.6842,22.8629,23.4315
eps-8;G5ED33,25.2289,25.084,24.6537,24.4369,21.9968,23.1719,22.3767,22.5101
eps-8;G5ED33,20.9934,20.1383,20.565,21.4765,21.595,21.5468,20.8732,20.8042
eps-8;G5ED33,26.3567,25.103,25.1873,26.2083,20.4087,20.5938,21.3076,20.5389
;A0A061ACQ8,25.6572,25.2059,25.6378,24.9202,24.8353,26.6069,28.0849,24.5607
;A0A061ACQ8,20.9167,20.157,21.6092,20.6234,21.2459,21.5406,21.2437,21.3923
;A0A061ACQ8,24.8245,24.1733,25.3429,22.6609,27.5851,25.9051,25.9511,27.8005
;A0A061ACQ8,24.8245,24.1733,25.3429,22.9507,25.2067,25.9051,25.9511,27.1847
T14G10.5;A0A061ACR1,20.6108,20.9844,20.9991,20.4449,23.275,25.0014,24.4762,24.5705
pezo-1;A0A061AL01,21.2686,20.8189,21.433,19.8521,20.6705,20.1351,19.8288,21.9589
pezo-1;A0A061AL01,24.2228,22.9565,24.0277,26.6275,22.9219,22.8252,22.966,23.1064
;B3GWD8,24.5006,24.5776,25.4118,24.2319,20.1448,20.9953,20.9473,20.9437
;B3GWD8,21.5394,18.8297,21.306,21.0766,20.769,20.2735,21.3764,21.6481
;B3GWD8,24.0581,22.4732,23.4203,22.4659,21.0195,21.3697,20.1126,20.3163
ard-1;A0A061AD09;Q19102,20.9959,21.2959,20.9351,20.4192,21.3938,21.6922,20.62,20.5959
lim-9;Q3S1I9,21.7362,19.9293,20.4636,20.918,20.7498,21.0134,19.3533,21.4814
lim-9;Q3S1I9,19.4551,21.3654,21.0041,20.6358,21.3117,21.354,20.8736,21.522
pgp-2;G5EDF9,24.4874,23.6056,24.1998,22.1189,24.0161,23.4262,23.0996,23.9464
pgp-2;G5EDF9,23.8183,24.5224,25.1071,24.2737,24.4818,24.0993,24.7389,25.7138
pgp-2;G5EDF9,24.7171,24.3861,24.6156,30.1377,24.245,22.5821,22.8668,21.9342
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,19.9041,21.0368,21.7105,20.1931,22.5736,20.6851,21.604,20.2598
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,21.2787,19.3966,21.8517,20.4801,19.919,19.8893,21.57,20.1973
