geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
eps-8;G5ED33,21.5417,20.6052,21.8186,21.6586,22.702,23.1942,23.0416,24.2504,,,,
eps-8;G5ED33,22.0936,20.9693,21.8315,21.582,23.8974,26.7129,27.0381,25.4021,,,,
eps-8;G5ED33,20.6689,19.8074,19.8263,21.4035,20.8424,21.0919,20.2925,21.864,,,,
eps-8;G5ED33,21.3207,20.457,21.1569,20.8725,23.4626,23.6842,22.8629,23.4315,,,,
eps-8;G5ED33,24.5316,23.0237,23.3382,24.1397,21.9968,23.1719,22.3767,22.5101,,,,
eps-8;G5ED33,25.2037,21.9564,23.4921,21.3081,21.595,21.5468,20.8732,20.8042,,,,
eps-8;G5ED33,20.5845,20.0789,20.1227,21.7398,20.4087,20.5938,21.3076,20.5389,,,,
;A0A061ACQ8,21.4137,20.3753,20.2783,21.1525,24.8353,26.6069,28.0849,24.5607,,,,
;A0A061ACQ8,20.2449,20.6627,20.3218,21.4516,21.2459,21.5406,21.2437,21.3923,,,,
;A0A061ACQ8,26.0796,26.6214,27.3457,25.2603,27.5851,25.9051,25.9511,27.8005,,,,
;A0A061ACQ8,26.0796,24.4882,24.0322,24.5542,25.2067,25.9051,25.9511,27.1847,,,,
T14G10.5;A0A061ACR1,24.6031,23.893,27.408,25.7024,23.275,25.0014,24.4762,24.5705,,,,
pezo-1;A0A061AL01,21.6271,21.5454,19.618,21.1324,20.6705,20.1351,19.8288,21.9589,,,,
pezo-1;A0A061AL01,20.3374,20.0229,21.7904,21.6173,22.9219,22.8252,22.966,23.1064,,,,
;B3GWD8,21.9518,20.5953,21.7451,21.6637,20.1448,20.9953,20.9473,20.9437,,,,
;B3GWD8,21.5007,20.8678,21.3048,20.5311,20.769,20.2735,21.3764,21.6481,,,,
;B3GWD8,20.1236,20.5493,21.1031,20.9334,21.0195,21.3697,20.1126,20.3163,,,,
ard-1;A0A061AD09;Q19102,21.3746,20.6783,21.0299,20.5448,21.3938,21.6922,20.62,20.5959,,,,
lim-9;Q3S1I9,22.0414,20.9049,19.5599,20.4587,20.7498,21.0134,19.3533,21.4814,,,,
lim-9;Q3S1I9,22.4755,21.0297,22.664,23.1742,21.3117,21.354,20.8736,21.522,,,,
pgp-2;G5EDF9,21.7113,20.9051,21.5384,21.0025,24.0161,23.4262,23.0996,23.9464,,,,
pgp-2;G5EDF9,20.9095,20.6514,21.4471,20.1895,24.4818,24.0993,24.7389,25.7138,,,,
pgp-2;G5EDF9,20.6047,20.1422,20.203,20.9822,24.245,22.5821,22.8668,21.9342,,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,21.6466,21.084,20.5156,19.8864,22.5736,20.6851,21.604,20.2598,,,,
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,20.922,19.9403,21.0624,21.5466,19.919,19.8893,21.57,20.1973,,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.4485,22.6639,24.3064,25.0223,20.699,21.5537,20.7858,20.5967,,,,
