geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
"CELE_Y62E10A,13",14.6929,14.6219,15.0714,15.0036,13.6624,14.6705,13.0161,13.1788
cars-1,17.3614,18.3607,17.4468,18.4773,16.9482,16.9907,16.7258,16.8047
eps-8,14.2241,15.3397,14.695,14.718,13.2868,13.2943,13.4311,13.5574
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.278,17.2816,17.5184,17.6879,16.7278,16.9222,16.7445,16.861
pezo-1,16.0356,16.4429,16.43,16.6367,14.9797,14.1831,14.1785,14.1505
twk-9,14.6643,14.6084,14.1804,15.4371,16.7245,16.8547,16.5382,17.0434
epi-1,19.3013,19.958,19.5637,20.0334,17.3778,17.2611,17.2211,17.2552
kdin-1,14.9805,15.0657,14.7737,14.3285,14.5667,14.1245,13.5735,13.8609
tag-273,17.8152,18.0893,17.9604,18.4654,16.9522,16.8906,16.8216,16.896
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",14.5301,15.4822,14.9562,14.7982,13.204,12.8146,12.8455,12.807
pps-1,16.3486,16.9502,17.2291,16.4725,14.6654,14.5446,14.8951,14.5906
cka-1,17.0288,16.4714,17.191,17.2637,15.2113,15.2708,15.2935,14.6747
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.7691,14.5101,14.4768,15.3084,13.5273,13.4948,13.3414,13.3991
spp-18,14.6074,14.9306,14.7396,14.9846,16.4987,16.7147,17.2833,16.7405
lin-66,13.3425,15.221,14.9797,15.4351,11.9923,11.9933,11.806,11.4557
"CELE_F09E10,7",14.9222,15.0741,14.3462,14.5228,13.584,13.4527,12.8148,13.6212
"CELE_F10C1,9",14.4955,13.7579,14.6724,15.255,13.1674,12.9395,13.0649,12.9296
itx-1,16.3116,16.5902,16.4232,16.4513,15.392,15.4007,15.3164,15.3035
"CELE_Y41E3,7",15.1169,15.2052,14.8207,15.8897,14.8861,15.2158,14.6431,15.0318
"CELE_Y105C5B,15",14.8389,15.4545,15.0084,15.3403,14.4415,14.4753,14.7231,14.8048
lim-9,14.9571,15.1334,14.5622,14.6738,13.5294,15.0585,14.5216,13.7324
"CELE_Y105E8A,25",14.9662,15.3609,14.9144,15.1615,13.9565,14.6444,14.1362,14.1668
pgp-2,16.263,15.942,16.5103,18.9858,14.7406,14.5345,14.7663,14.542
lpd-3,14.7356,14.4461,14.7467,15.4556,19.8249,18.7062,20.3346,16.7774
tln-1,14.9324,15.4181,14.2691,14.7208,15.2793,14.4381,15.0734,14.2001
max-2,14.9873,14.8484,14.0506,15.3082,15.0382,14.7899,13.6586,14.2145
egl-27,14.4995,14.7387,12.7065,15.4268,14.4324,13.7939,13.9669,14.1113
cdc-14,14.9576,15.4854,13.9322,14.2619,11.9383,11.9019,11.7932,11.7711
daf-16,13.9248,15.4823,13.9326,13.6722,14.4295,14.2156,13.8791,13.6415
"CELE_T16H12,3;T16H12,3",14.5306,14.5676,14.7485,15.431,15.5488,15.0549,14.68,14.8117
lev-11,17.5938,17.7435,17.6884,17.0757,15.4347,15.3798,15.0622,15.2719
gld-2,14.9741,15.5163,13.4171,15.0916,13.6346,14.8193,13.2643,14.2192
ncl-1,15.0217,15.2217,14.819,15.1931,13.1435,13.1674,13.0787,13.801
"CELE_D1069,3",14.5316,15.1375,15.0211,15.0412,12.2505,12.6677,13.2142,12.9798
lin-23,14.7922,15.1266,14.8369,14.9976,14.6408,14.4002,14.6111,13.9143
"CELE_Y50D4B,1",14.8821,15.0305,14.947,15.4674,12.0247,11.927,11.8877,11.8275
"CELE_Y39A1A,21",14.8786,14.5327,14.0664,14.8981,11.9399,12.0333,11.7241,11.8611
dre-1,19.0011,20.0038,19.1395,20.0611,20.2126,19.6131,18.8943,19.4377
gck-1,14.9316,14.6014,14.6561,14.423,14.3773,14.2831,14.0127,14.5954
gly-7,14.1129,14.3868,14.857,15.1964,11.2755,15.1297,15.0505,14.4373
"CELE_F40A3,3;F40A3,3",19.443,19.5954,19.7306,19.5887,18.3487,18.515,18.2594,18.3426
"CELE_Y50D4B,4",12.8441,15.5238,13.2333,14.9485,15.3412,15.5574,15.5704,15.3773
cdf-1,14.6911,14.6039,14.2977,14.9354,12.0563,11.899,12.0896,11.7262
unc-34,17.5071,18.1994,18.1953,18.0443,11.9426,11.8636,11.7552,11.6065
tbh-1,18.8977,19.9425,19.2313,19.9725,16.7275,16.8248,16.8399,16.8284
lev-11,22.9724,24.6822,24.2346,24.7799,21.4624,21.8729,21.9365,22.0176
imp-3,16.4129,17.053,16.6976,16.9933,13.9553,13.9725,13.8905,14.0618
prdx-2,22.4809,23.0663,22.5501,22.7704,21.8293,21.9154,21.7058,21.7695
jhdm-1,14.7536,15.4294,14.4854,14.7113,14.1711,14.1869,13.9833,14.0792
mrck-1,14.904,14.5921,14.4733,15.3829,11.8907,12.17,11.9556,13.6651
nhr-86,14.3599,14.1527,14.3449,15.146,11.994,11.7847,11.651,11.8729
aat-3,13.5977,15.3824,14.9495,15.245,13.2901,13.4854,12.9914,13.0669
"CELE_M02H5,8",17.6104,18.1733,17.6761,18.3232,19.4784,19.5861,19.6017,19.5462
"CELE_T08B1,1",18.8259,19.1867,18.758,18.8376,14.2144,13.8772,13.9616,14.0191
lipl-5,14.3911,15.2,14.2999,15.2366,13.6179,13.7515,13.3196,13.5035
fln-2,18.6103,18.663,18.4095,18.5762,16.3692,16.3087,16.2015,16.2124
"C14C6,5",18.1679,16.9759,18.0635,17.7752,17.0053,17.1095,16.9841,17.0243
"CELE_T08B1,1",14.5274,14.9106,14.1329,14.1151,11.842,12.1194,12.1122,11.8781
zig-11,17.0251,16.7949,16.5392,16.7802,13.6489,13.9017,13.8618,13.8864
ilys-5,18.2089,18.0073,17.8211,18.1223,16.3945,16.3511,16.3527,16.3028
irg-3,14.2564,13.9323,14.303,14.672,16.071,16.0031,15.8602,15.8577
tns-1,16.6829,16.1602,16.4987,17.0321,15.1657,14.8884,14.9202,14.9698
ubr-4,14.9076,14.8515,14.3097,14.7577,13.7513,13.275,18.4954,13.2745
ccar-1,16.9135,18.0429,17.0148,18.1154,14.6417,14.5149,14.456,14.3481
ulp-2,14.5088,15.3408,14.8214,15.0466,13.9047,13.6471,12.912,13.352
"CELE_T23F4,2",14.4437,14.7402,14.5769,15.2609,14.3993,13.9547,13.198,13.7822
sago-1,14.2698,14.6345,14.9513,14.3684,14.1281,13.7752,14.015,13.6909
sago-2,14.7205,15.3466,14.1093,15.1959,15.757,16.1672,15.8732,16.0161
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",15.0152,15.4174,14.0271,14.1608,13.6991,13.832,13.4278,14.0084
daf-4,16.7812,17.1397,16.4086,17.1083,14.0073,13.9238,13.733,13.9805
hpo-3,14.2153,15.2885,14.9233,15.5025,12.0557,11.692,11.8544,11.8086
acs-22,17.4286,17.1168,17.8944,17.1989,15.5221,15.5952,15.4355,15.4668
tag-10,15.4904,16.1751,15.6821,17.814,15.3715,15.1153,15.1104,15.1775
imb-2,17.0963,17.2883,17.1651,17.6089,14.56,14.623,14.18,14.2704
brf-1,13.5014,14.8787,14.9912,14.9658,12.0288,12.0353,11.8507,11.8149
"CELE_W09B6,4",15.1018,15.8048,14.7287,16.1082,13.9942,12.6971,13.2133,13.2552
irg-7,18.486,19.0949,18.6693,19.0721,19.0294,19.0553,18.9044,18.959
"CELE_F27B10,1",14.9512,15.1653,14.7827,14.5216,13.448,13.2788,12.8441,12.9414
"CELE_T22F3,3",14.8386,15.4973,14.6679,15.2853,14.4729,13.7536,14.4411,14.5207
die-1,14.7368,15.4125,14.7582,15.2962,12.576,13.2845,12.6689,12.931
dhs-11,14.8537,13.8747,14.1222,14.9647,15.1269,14.7252,14.7219,14.9904
tbc-14,16.0663,16.2508,15.9408,16.1495,15.3428,15.0569,14.6554,15.0507
cyp-34a6,14.3041,15.4268,14.617,15.3927,14.0835,13.9058,14.4655,13.9734
fipp-1,15.029,15.2687,14.1828,14.5604,13.4667,13.6388,13.8091,13.5684
unc-132,17.5211,17.356,17.34,16.814,14.4148,14.4258,14.2715,13.9988
cdh-4,14.5094,15.4919,14.6169,14.9703,13.3504,13.1353,13.0658,12.8024
ajm-1,14.2628,14.8545,15.0037,14.8676,11.8713,12.009,11.8276,11.8538
"CELE_ZC412,3",18.4237,18.5668,18.2106,18.6,17.3815,17.4424,17.573,17.3302
farl-11,14.6816,15.437,14.9032,15.1038,12.854,13.1664,12.6039,12.9723
let-711,15.8234,15.3592,16.4145,14.9125,15.0757,14.9147,14.7872,14.9327
"C40H1,7",14.9823,14.6351,14.665,15.3349,14.8673,14.7142,15.055,15.2103
spat-2,15.9712,16.3456,16.4401,16.5278,15.2126,15.1118,15.1529,15.2583
aakg-1,14.8144,15.4542,15.0403,14.6875,14.5098,14.3517,14.0566,14.3917
grl-23,16.6746,17.4854,16.6199,18.2509,11.9143,11.9663,11.7497,11.5434
spat-2,14.5589,15.4747,14.7881,14.9943,12.9068,14.0977,13.3469,13.3409
"CELE_Y55F3BR,6",14.8097,14.4842,14.6116,15.4395,12.0709,11.8597,11.8302,11.7828
vab-10,20.7031,21.3275,20.7838,21.3111,19.2772,19.2947,18.8533,19.1476
"eif-3,l;eif-3,L",19.6491,18.0783,17.8849,20.1577,18.8992,18.485,18.6725,18.5558
"npp-25;npp-25;npp-25;Y37D8A,17",14.5257,15.4335,14.6882,14.9133,16.1403,16.7812,16.8121,16.7729
cnt-1,14.0825,15.3217,14.0565,14.8301,12.1153,11.9476,9.87085,11.5245
"C26G2,2",17.2878,17.3288,17.0572,17.7547,14.1511,14.121,13.4449,13.8114
"CELE_F43B10,1",14.0703,15.0618,15.034,15.124,13.6242,13.0234,13.1848,12.9121
ubc-15,13.7413,14.6593,15.0532,15.3199,13.1848,13.219,13.572,13.253
"CELE_Y55F3BR,10",14.062,14.6214,13.781,15.1548,12.8284,13.0734,12.57,13.2446
"CELE_Y38F2AR,12",14.9567,14.8565,15.0333,15.1966,13.8951,14.335,14.0047,14.3626
ttr-42,19.7982,20.5462,20.1392,20.5977,17.5578,17.4002,17.6601,17.6665
"CELE_H29C22,1",19.5576,19.7935,19.4083,19.8309,17.2318,17.8005,17.7423,17.385
"CELE_F07G6,10",14.7525,15.1287,15.0067,15.0204,14.1786,14.2982,13.8313,13.851
ttr-34,14.7474,14.6052,13.9862,15.4864,13.064,14.0912,14.3274,13.5116
"CELE_Y49E10,29",14.7712,14.7025,14.572,15.1692,11.8505,11.8016,11.394,11.5255
cnnm-1,14.9991,15.1938,13.8776,14.742,11.4726,12.0016,11.7959,11.6274
col-138,16.99,16.2425,15.7647,16.7174,13.1775,13.2852,12.1847,13.8049
oac-59,14.2221,15.157,14.7275,15.3156,11.8727,11.9365,11.7087,11.8609
"C42C1,8",16.7035,16.8553,16.3854,16.0278,14.4975,14.5514,13.902,14.1441
