geneName;Leading.proteins,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
eps-8;G5ED33,22.702,23.1942,23.0416,24.2504,23.8555,23.2074,23.9511,24.3365
eps-8;G5ED33,23.8974,26.7129,27.0381,25.4021,21.9286,21.3864,20.4347,21.5976
eps-8;G5ED33,20.8424,21.0919,20.2925,21.864,23.4835,24.2371,23.8393,24.4495
eps-8;G5ED33,23.4626,23.6842,22.8629,23.4315,22.9099,24.0892,24.2362,23.2418
eps-8;G5ED33,21.9968,23.1719,22.3767,22.5101,21.8965,20.3186,22.5549,23.1651
eps-8;G5ED33,21.595,21.5468,20.8732,20.8042,21.1765,21.0658,21.4885,21.6995
eps-8;G5ED33,20.4087,20.5938,21.3076,20.5389,20.9889,21.6704,22.3464,22.0644
;A0A061ACQ8,24.8353,26.6069,28.0849,24.5607,23.9196,24.8655,24.899,26.1364
;A0A061ACQ8,21.2459,21.5406,21.2437,21.3923,21.5992,20.809,20.9413,21.1447
;A0A061ACQ8,27.5851,25.9051,25.9511,27.8005,27.2762,26.8353,26.7459,27.5041
;A0A061ACQ8,25.2067,25.9051,25.9511,27.1847,27.2762,26.8353,26.7459,27.5041
T14G10.5;A0A061ACR1,23.275,25.0014,24.4762,24.5705,24.8872,25.1844,24.1479,24.599
pezo-1;A0A061AL01,20.6705,20.1351,19.8288,21.9589,21.2511,21.1867,18.9654,20.3907
pezo-1;A0A061AL01,22.9219,22.8252,22.966,23.1064,23.1739,22.0387,21.808,22.5403
;B3GWD8,20.1448,20.9953,20.9473,20.9437,21.5379,19.9172,21.2065,19.3403
;B3GWD8,20.769,20.2735,21.3764,21.6481,21.8973,21.7259,21.2138,21.8058
;B3GWD8,21.0195,21.3697,20.1126,20.3163,21.6392,21.0082,21.3492,20.8212
ard-1;A0A061AD09;Q19102,21.3938,21.6922,20.62,20.5959,21.3986,21.2608,21.4654,21.2513
lim-9;Q3S1I9,20.7498,21.0134,19.3533,21.4814,21.2028,21.0694,20.5769,21.3834
lim-9;Q3S1I9,21.3117,21.354,20.8736,21.522,21.6606,21.3918,20.915,21.4468
pgp-2;G5EDF9,24.0161,23.4262,23.0996,23.9464,22.3729,22.3957,21.4728,22.4389
pgp-2;G5EDF9,24.4818,24.0993,24.7389,25.7138,22.3368,21.5555,21.7559,21.8566
pgp-2;G5EDF9,24.245,22.5821,22.8668,21.9342,21.2489,20.283,21.2956,19.8853
