geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
"CELE_Y62E10A,13",13.6624,14.6705,13.0161,13.1788,12.9683,13.6616,13.4782,13.2256
cars-1,16.9482,16.9907,16.7258,16.8047,16.1567,15.8846,16.141,15.9632
eps-8,13.2868,13.2943,13.4311,13.5574,13.8975,12.8773,13.4087,13.531
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.7278,16.9222,16.7445,16.861,16.91,16.4458,16.5862,16.4466
pezo-1,14.9797,14.1831,14.1785,14.1505,14.6784,14.3752,14.6108,14.3797
twk-9,16.7245,16.8547,16.5382,17.0434,17.2252,17.1974,17.211,17.4039
epi-1,17.3778,17.2611,17.2211,17.2552,16.5375,16.3752,16.5971,16.4363
kdin-1,14.5667,14.1245,13.5735,13.8609,13.0048,13.8586,13.8529,12.6856
tag-273,16.9522,16.8906,16.8216,16.896,15.9666,15.9984,15.9232,16.1421
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",13.204,12.8146,12.8455,12.807,13.082,12.5815,12.6605,12.5371
pps-1,14.6654,14.5446,14.8951,14.5906,14.9067,13.8865,13.7469,14.701
cka-1,15.2113,15.2708,15.2935,14.6747,14.5009,14.8805,14.8057,15.3388
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.5273,13.4948,13.3414,13.3991,12.9254,12.9859,13.2029,12.5426
spp-18,16.4987,16.7147,17.2833,16.7405,13.4882,13.6665,16.0098,13.7283
lin-66,11.9923,11.9933,11.806,11.4557,13.6137,13.1062,13.7746,15.0526
"CELE_F09E10,7",13.584,13.4527,12.8148,13.6212,13.6949,13.4141,13.5184,13.6471
"CELE_F10C1,9",13.1674,12.9395,13.0649,12.9296,15.0309,14.0591,13.8953,14.538
itx-1,15.392,15.4007,15.3164,15.3035,14.4921,14.3969,14.5247,14.3475
"CELE_Y41E3,7",14.8861,15.2158,14.6431,15.0318,13.5437,15.1879,14.7286,14.2836
"CELE_Y105C5B,15",14.4415,14.4753,14.7231,14.8048,13.706,13.7134,13.1718,13.0678
lim-9,13.5294,15.0585,14.5216,13.7324,15.2467,15.1198,15.1758,15.3573
"CELE_Y105E8A,25",13.9565,14.6444,14.1362,14.1668,13.7928,13.4321,13.2535,14.0893
pgp-2,14.7406,14.5345,14.7663,14.542,14.603,14.3793,14.4219,14.4792
lpd-3,19.8249,18.7062,20.3346,16.7774,14.1782,16.6237,15.4979,16.5383
tln-1,15.2793,14.4381,15.0734,14.2001,14.3502,13.2031,13.3245,14.2834
max-2,15.0382,14.7899,13.6586,14.2145,14.1707,13.7061,14.0444,13.8003
egl-27,14.4324,13.7939,13.9669,14.1113,16.3502,17.2088,15.8581,16.6099
cdc-14,11.9383,11.9019,11.7932,11.7711,10.6858,10.2011,10.4073,10.5605
daf-16,14.4295,14.2156,13.8791,13.6415,14.1166,13.8847,13.1839,14.1824
"CELE_T16H12,3;T16H12,3",15.5488,15.0549,14.68,14.8117,14.3255,14.0321,12.9174,14.2336
lev-11,15.4347,15.3798,15.0622,15.2719,14.6444,14.4137,14.0062,14.6316
gld-2,13.6346,14.8193,13.2643,14.2192,12.4825,12.7573,12.3399,13.0231
ncl-1,13.1435,13.1674,13.0787,13.801,15.0048,15.1274,15.0056,14.8777
"CELE_D1069,3",12.2505,12.6677,13.2142,12.9798,10.3262,12.131,7.60835,10.4998
lin-23,14.6408,14.4002,14.6111,13.9143,16.7725,16.4028,16.1503,16.3081
"CELE_Y50D4B,1",12.0247,11.927,11.8877,11.8275,14.6389,14.1407,15.2596,15.4452
"CELE_Y39A1A,21",11.9399,12.0333,11.7241,11.8611,11.3144,12.1267,12.0295,10.6682
dre-1,20.2126,19.6131,18.8943,19.4377,16.4058,17.7578,17.2062,16
gck-1,14.3773,14.2831,14.0127,14.5954,15.0427,14.7422,14.8521,14.9281
gly-7,11.2755,15.1297,15.0505,14.4373,13.2416,13.7346,13.7728,14.3512
"CELE_F40A3,3;F40A3,3",18.3487,18.515,18.2594,18.3426,17.7456,17.9368,17.8551,17.4634
"CELE_Y50D4B,4",15.3412,15.5574,15.5704,15.3773,14.9787,15.6712,15.6459,15.6076
cdf-1,12.0563,11.899,12.0896,11.7262,10.5696,10.3252,10.3024,10.6677
unc-34,11.9426,11.8636,11.7552,11.6065,13.8518,14.466,14.6832,13.4427
tbh-1,16.7275,16.8248,16.8399,16.8284,14.5926,15.0296,14.5775,14.9913
lev-11,21.4624,21.8729,21.9365,22.0176,21.1675,21.4134,20.9223,20.7806
imp-3,13.9553,13.9725,13.8905,14.0618,12.6899,13.082,12.4051,13.601
prdx-2,21.8293,21.9154,21.7058,21.7695,20.8942,21.3648,21.233,21.3462
jhdm-1,14.1711,14.1869,13.9833,14.0792,13.7639,13.4889,13.5012,13.6998
mrck-1,11.8907,12.17,11.9556,13.6651,12.765,13.044,13.4002,13.11
nhr-86,11.994,11.7847,11.651,11.8729,12.1407,12.7157,12.5374,11.5439
aat-3,13.2901,13.4854,12.9914,13.0669,12.9043,13.3256,12.9065,13.1466
"CELE_M02H5,8",19.4784,19.5861,19.6017,19.5462,18.1582,18.0209,17.6519,17.7006
"CELE_T08B1,1",14.2144,13.8772,13.9616,14.0191,15.6044,15.5163,15.4616,15.5904
lipl-5,13.6179,13.7515,13.3196,13.5035,14.0593,14.0521,14.0562,13.4379
fln-2,16.3692,16.3087,16.2015,16.2124,15.7683,15.5146,15.573,15.6207
"C14C6,5",17.0053,17.1095,16.9841,17.0243,13.3778,12.4916,14.7746,12.5963
"CELE_T08B1,1",11.842,12.1194,12.1122,11.8781,10.6738,10.3378,10.406,10.3975
zig-11,13.6489,13.9017,13.8618,13.8864,11.4791,11.9132,11.7059,11.4122
ilys-5,16.3945,16.3511,16.3527,16.3028,16.3559,16.2442,16.7785,16.5289
irg-3,16.071,16.0031,15.8602,15.8577,12.0239,13.6031,14.0724,13.2157
tns-1,15.1657,14.8884,14.9202,14.9698,15.3103,15.0886,14.9067,15.0705
ubr-4,13.7513,13.275,18.4954,13.2745,12.175,13.4889,12.5708,12.6153
ccar-1,14.6417,14.5149,14.456,14.3481,15.1376,15.0373,15.1087,15.0186
ulp-2,13.9047,13.6471,12.912,13.352,14.6588,13.6319,13.6467,14.3612
"CELE_T23F4,2",14.3993,13.9547,13.198,13.7822,13.3763,12.8645,13.2779,12.2445
sago-1,14.1281,13.7752,14.015,13.6909,13.6895,13.542,13,13.434
sago-2,15.757,16.1672,15.8732,16.0161,14.5988,14.3745,14.9379,12.6879
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",13.6991,13.832,13.4278,14.0084,13.6059,13.0851,13.4806,12.171
daf-4,14.0073,13.9238,13.733,13.9805,14.3909,13.1758,13.5505,13.6891
hpo-3,12.0557,11.692,11.8544,11.8086,11.1086,11.7108,11.3353,11.1251
acs-22,15.5221,15.5952,15.4355,15.4668,14.7618,14.6566,14.8523,14.5628
