geneName;Leading.proteins,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
;D3NQB6,22.9507,23.0297,22.611,24.656,24.0287,24.0095
eps-8;Q7YTG2,24.7866,24.845,24.3479,23.0747,23.0403,23.0809
eps-8;Q7YTG2,25.4759,25.0026,25.6835,22.8922,22.777,23.0983
ccr-4;A0A061AD13,24.2062,23.7821,24.0555,23.9843,24.9528,24.1612
lev-11;A0A0K3AQS9;A0A0K3ATR6;Q22866,26.5024,26.7055,26.3868,26.2838,27.1976,26.6767
lev-11;A0A0K3AQS9;A0A0K3ATR6;Q22866;Q27249,23.5886,25.0334,24.3336,24.5434,24.2846,24.9083
itsn-1;E6N0W0,24.2898,24.652,24.3135,24.8331,23.9271,23.3745
fln-2;A0A0K3ASN9,22.8675,22.4907,22.7283,26.5193,26.3221,26.1399
fln-2;A0A0K3ASN9,25.26,25.5212,25.1154,22.4088,23.0873,23.1406
fln-2;A0A0K3ASN9,28.8542,28.3256,28.7148,26.5308,26.63,26.6301
T01D1.4;A0A0K3AU20,23.9867,23.5191,24.1329,22.4569,23.0321,22.8641
;A0A0K3AY44,24.8162,24.8876,24.4084,22.9922,24.4137,24.2543
oac-14;A0A0K3AWB0,22.9718,22.931,22.7632,25.5535,25.2292,25.4541
rft-2;A0A168H3J9,23.148,22.6261,22.7424,22.9901,22.9201,22.3611
spat-2;A0A1I6CM87,23.8251,23.903,23.4002,22.9458,23.0868,22.8102
ubc-15;Q9N490,24.7976,25.1057,25.2451,22.9437,22.9499,23.0512
pdi-2;A3RMS2,24.0826,24.398,24.3915,22.8818,22.5017,23.0217
dab-1;Q8I4G9,24.8692,25.2437,24.7872,22.6329,23.0627,23.0516
;A5Z2W7,25.1108,24.9065,24.9645,25.5619,25.7867,24.9335
;A5Z2W7,22.673,22.9457,22.957,24.2737,24.4855,24.1636
;Q5FC71,27.2377,25.775,27.0758,26.0031,24.7932,25.9241
;Q5FC71,33.5353,33.1889,33.2692,32.9459,32.7943,32.8728
;A8WFH7,25.4349,25.7937,25.3656,25.1327,25.2452,25.0425
;A8WFH7,25.5653,25.7937,25.3656,25.1327,25.2452,25.0425
;A8WFH7,26.0427,26.1546,26.3031,22.9435,22.8951,22.4895
hsp-43;H2KYS1,26.1541,26.0739,26.3695,25.3925,25.1353,25.5024
aat-6;B2D6M4,26.1794,26.1198,26.2012,27.0473,26.5134,26.6211
;H2KYS2,24.7543,24.6688,24.1748,22.9449,22.9356,22.9338
;H2KYS2,22.7904,22.9068,22.4099,24.8115,25.039,24.5034
;H2KYS2,24.9455,24.8321,24.7576,24.8115,25.039,24.5034
;B3WFY5,25.134,24.6544,24.757,23.0982,23.0566,23.0733
ret-1;B5U8N2,22.8371,22.7499,22.8421,23.743,23.6689,23.1322
ret-1;B5U8N2,26.5714,26.0682,26.0337,25.352,26.2769,26.1573
pgp-5;B6VQ78,25.91,23.7574,22.6383,22.4225,22.8763,23.0343
mca-3;Q8MXS0,25.9425,25.8082,25.7988,25.2735,25.2736,25.058
uba-1;Q3S1J5,27.7483,28.13,27.8951,28.8735,28.7777,28.7925
;C6KRI9,25.2194,26.2775,25.7635,22.8648,23.0301,23.078
;C9IY22,22.7105,22.6111,23.1719,23.0699,23.0383,22.782
fln-1;U4PM04,23.0064,22.828,22.9744,23.2542,23.7337,23.5939
rgs-1;D1MN65,25.34,25.0974,25.1392,22.96,22.9627,22.8343
tag-349;D3NQB5,20.1082,23.0038,20.8778,22.9172,20.3871,21.8566
dct-16;D4YWC3,22.8465,23.0177,22.9665,23.2516,24.8288,23.0623
larp-1;D5MCN2,24.2187,24.2358,24.095,22.802,23.0283,23.1379
;D6R8W6,21.1033,21.5594,21.4697,22.9896,22.6806,23.0092
gsto-1;D7SFI3,25.8565,25.6793,25.6283,24.0665,25.5081,24.448
myrf-2;Q9U3I3,24.9732,25.1487,24.3947,26.7525,24.3288,25.167
ape-1;E0AHC9,24.0575,24.0888,24.2533,23.1019,22.5492,22.8538
ent-7;Q20396,25.4688,24.9904,24.9443,22.9007,22.8419,23.0535
C27A7.1;E1B6U2,24.0407,24.3825,24.4626,22.9522,22.9115,22.9243
hpo-34;E3W743,23.4747,24.286,23.7918,22.865,22.5861,23.577
dnj-14;Q21162,23.0043,22.6973,22.7877,23.8598,24.9129,24.9476
dnj-14;Q21162,24.1745,24.3086,24.7712,22.4882,23.0508,23.0984
lin-24;E5QCG6,25.9095,26.5295,26.2341,22.7853,22.5341,22.9973
nstp-5;E5QCI0,26.6386,26.5613,26.4425,25.8831,25.9656,25.8422
sqst-1;F1LIM5,22.5372,22.6983,22.7236,25.0394,24.5645,24.8732
sqst-1;F1LIM5,24.3607,24.3404,24.713,26.1217,26.1695,26.0937
;F5GUH0,25.0336,24.4201,24.7663,24.3487,24.4137,25.1169
pgp-6;pgp-7;Q1ZXU6,26.2538,27.0307,26.4992,26.5601,26.2483,26.0967
spc-1;G4S034,24.6124,24.5583,24.8257,22.9071,22.9861,23.1331
;G4SPY1,25.5038,25.6398,25.0973,24.0484,25.2755,23.7412
abtm-1;G4SRS5,25.3936,25.0994,25.6789,23.0478,22.716,22.8397
